codigo_municipio,populacao_0_17
2100808,4368
2100832,5399
2100873,3612
2100907,11436
2100956,9373
2101004,8328
2101103,3594
2101202,29979
2101251,5252
2101301,4830
2101350,1457
2101400,31668
2101509,5074
2101608,26661
2101707,22569
2101731,3378
2101772,3824
2101806,1492
2101905,5093
2101939,1668
2101970,2795
2102002,11314
2102036,10422
2102077,3519
2102101,10881
2102150,3046
2102200,10610
2102309,7161
2102325,19451
2102358,4104
2102374,3490
2102408,3027
2102507,5523
2102556,3792
2102606,6595
2102705,7577
2102754,3412
2102804,7011
2102903,7911
2103000,45452
2103109,2667
2103125,2323
2103158,4785
2103174,6018
2103208,26462
2103257,3967
2103307,35479
2103406,13133
2103505,12528
2103554,5219
2103604,18298
2103703,8792
2103752,4342
2103802,6618
2103901,3371
2104008,5273
2104057,10229
2104073,2469
2104081,4180
2104099,5474
2104107,3790
2104206,5543
2104305,3269
2104404,5243
2104503,2992
2104552,5710
2104602,4282
2104628,2142
2104651,3383
2104677,7815
2104701,1759
2104800,25741
2104909,2654
2105005,9136
2105104,8054
2105153,4860
2105203,2830
2105302,73144
2105351,5129
2105401,19546
2105427,6578
2105450,2339
2105476,7040
2105500,7410
2105609,4725
2105658,1713
2105708,13508
2105807,2798
2105906,4896
2105922,3145
2105948,2424
2105963,3973
2105989,2115
2106003,3206
2106102,3392
2106201,2219
2106300,4093
2106326,7716
2106359,2527
2106375,5157
2106409,5705
2106508,6761
2106607,10785
2106631,5368
2106672,2937
2106706,6461
2106755,6830
2106805,4087
2106904,9841
2107001,2793
2107100,6284
2107209,4710
2107258,1601
2107308,1213
2107357,4572
2107407,4788
2107456,4195
2107506,39656
2107605,6419
2107704,5350
2107803,10106
2107902,5333
2108009,5711
2108058,6099
2108108,6538
2108207,9782
2108256,8682
2108306,11274
2108405,2975
2108454,6648
2108504,9961
2108603,24458
2108702,6791
2108801,5352
2108900,4632
2109007,7016
2109056,1641
2109106,12858
2109205,4052
2109239,1420
2109270,6293
2109304,3848
2109403,4807
2109452,9414
2109502,6704
2109551,2307
2109601,11555
2109700,1662
2109759,2065
2109809,13144
2109908,24769
2110005,19505
2110039,7300
2110104,7656
2110203,11691
2110237,3436
2110278,4875
2110302,4069
2110401,6569
2110500,14281
2110609,8218
2110658,2578
2110708,10399
2110807,1236
2110856,2808
2110906,3410
2111003,5207
2111029,4420
2111052,2888
2111078,5724
2111102,6924
2111201,66377
2111250,2122
2111300,246007
2111409,5323
2111508,11856
2111532,4652
2111573,1685
2111607,5623
2111631,1772
2111672,1429
2111706,5620
2111722,2750
2111748,3391
2111763,4510
2111789,3335
2111805,5301
2111904,3055
2111953,1452
2112001,3008
2112100,8882
2112209,49698
2112233,6429
2112274,1880
2112308,10691
2112407,12754
2112456,11435
2112506,17657
2112605,11960
2112704,15073
2112803,16526
2112852,3387
2112902,9573
2113009,8792
2114007,12607
2200053,1620
2200103,1199
2200202,4710
2200251,1535
2200277,1180
2200301,3136
2200400,12390
2200459,1588
2200509,4954
2200608,1635
2200707,2604
2200806,859
2200905,1228
2200954,524
2201002,1148
2201051,2281
2201101,3007
2201150,4470
2201176,973
2201200,13662
2201309,915
2201408,1783
2201507,6804
2201556,1003
2201572,793
2201606,2449
2201705,1517
2201739,1845
2201770,1920
2201804,823
2201903,8542
2201919,1463
2201929,1565
2201945,1756
2201960,2072
2201988,948
2202000,5560
2202026,1802
2202059,2474
2202075,796
2202083,2020
2202091,1361
2202109,1225
2202117,1179
2202133,1529
2202174,2406
2202208,10251
2202251,887
2202307,4729
2202406,2881
2202455,1029
2202505,2977
2202539,1516
2202554,1380
2202604,5117
2202653,1569
2202703,7889
2202711,1215
2202729,1687
2202737,1101
2202752,1687
2202778,1648
2202802,1175
2202851,996
2202901,7815
2203008,2209
2203107,3105
2203206,3266
2203230,1434
2203255,1329
2203271,1514
2203305,4486
2203354,1826
2203404,1372
2203420,1130
2203453,2145
2203503,3028
2203602,1039
2203701,11024
2203750,1523
2203800,1153
2203859,486
2203909,15255
2204006,1110
2204105,1158
2204154,721
2204204,1974
2204303,2367
2204352,1357
2204402,3314
2204501,2716
2204550,1287
2204600,898
2204659,2499
2204709,3579
2204808,2257
2204907,2224
2205003,2270
2205102,2495
2205151,1321
2205201,4541
2205250,1078
2205276,938
2205300,1116
2205359,760
2205409,3850
2205458,1563
2205508,11408
2205516,1258
2205524,1532
2205532,1205
2205540,796
2205557,2245
2205565,1282
2205573,1721
2205581,1346
2205599,1129
2205607,1328
2205706,8170
2205805,6935
2205854,2470
2205904,1245
2205953,2545
2206001,1306
2206050,1195
2206100,3269
2206209,10143
2206308,365
2206357,1611
2206407,2585
2206506,1783
2206605,3376
2206654,1326
2206670,1791
2206696,2873
2206704,1708
2206720,3042
2206753,1221
2206803,2587
2206902,1377
2206951,660
2207009,9573
2207108,717
2207207,1513
2207306,1070
2207355,623
2207405,1381
2207504,3943
2207553,860
2207603,3122
2207702,40262
2207751,1111
2207777,1141
2207793,992
2207801,5785
2207850,839
2207900,9631
2207934,669
2207959,1078
2208007,19343
2208106,2860
2208205,4537
2208304,7365
2208403,16296
2208502,4056
2208551,687
2208601,790
2208650,2047
2208700,2628
2208809,4861
2208858,1279
2208874,1098
2208908,1794
2209005,1365
2209104,1340
2209153,882
2209203,1864
2209302,1489
2209351,922
2209377,1142
2209401,1364
2209450,645
2209500,805
2209559,1050
2209609,623
2209658,1512
2209708,1280
2209757,835
2209807,1400
2209856,992
2209872,1581
2209906,1476
2209955,1167
2209971,2479
2210003,5819
2210052,1114
2210102,814
2210201,1615
2210300,1401
2210359,928
2210375,539
2210383,529
2210391,748
2210409,4443
2210508,3960
2210607,10452
2210623,979
2210631,1217
2210656,2218
2210706,4110
2210805,3553
2210904,1017
2210938,1426
2210953,797
2210979,545
2211001,206747
2211100,13034
2211209,7518
2211308,5149
2211357,1405
2211407,1067
2211506,699
2211605,624
2211704,920
2300101,2664
2300150,3913
2300200,18305
2300309,10773
2300408,3604
2300507,2890
2300606,1797
2300705,3521
2300754,13161
2300804,1855
2300903,3246
2301000,19226
2301109,18236
2301208,6494
2301257,2844
2301307,5805
2301406,2968
2301505,1890
2301604,5457
2301703,5698
2301802,1297
2301851,4719
2301901,20650
2301950,5935
2302008,4459
2302057,3824
2302107,9119
2302206,12925
2302305,8577
2302404,12895
2302503,11933
2302602,16509
2302701,6374
2302800,19787
2302909,4637
2303006,4650
2303105,4380
2303204,7254
2303303,3909
2303402,4802
2303501,17711
2303600,2598
2303659,2660
2303709,93336
2303808,5150
2303907,3406
2303931,3413
2303956,5174
2304004,5613
2304103,18405
2304202,33450
2304236,4584
2304251,7968
2304269,1997
2304277,1582
2304285,19494
2304301,4604
2304350,6161
2304400,545863
2304459,4084
2304509,4320
2304608,1915
2304657,3683
2304707,15085
2304806,1257
2304905,2549
2304954,6546
2305001,11728
2305100,1299
2305209,4570
2305233,20298
2305266,3239
2305308,6728
2305332,2835
2305357,5345
2305407,15804
2305506,23601
2305605,5414
2305654,2889
2305704,3215
2305803,10715
2305902,9550
2306009,3416
2306108,7076
2306207,1720
2306256,14746
2306306,12400
2306405,37301
2306504,4771
2306553,12709
2306603,5661
2306702,4187
2306801,2623
2306900,7993
2307007,7384
2307106,7660
2307205,2081
2307254,7172
2307304,74039
2307403,6288
2307502,7284
2307601,13718
2307635,4520
2307650,60524
2307700,26123
2307809,7102
2307908,2995
2308005,10332
2308104,12336
2308203,4014
2308302,6360
2308351,3157
2308377,4116
2308401,10398
2308500,9343
2308609,4249
2308708,13697
2308807,2179
2308906,6792
2309003,3398
2309102,2856
2309201,4470
2309300,7612
2309409,6781
2309458,5935
2309508,4606
2309607,18269
2309706,22252
2309805,2963
2309904,1559
2310001,2210
2310100,2559
2310209,10293
2310258,8582
2310308,7945
2310407,2590
2310506,9767
2310605,2565
2310704,9890
2310803,3780
2310852,5932
2310902,3706
2310951,2629
2311009,3204
2311108,4616
2311207,2429
2311231,1444
2311264,5065
2311306,22552
2311355,3580
2311405,21044
2311504,5065
2311603,7116
2311702,4859
2311801,17178
2311900,3629
2311959,4970
2312007,8257
2312106,4817
2312205,9986
2312304,13612
2312403,14772
2312502,1062
2312601,2737
2312700,5749
2312809,2042
2312908,50452
2313005,4052
2313104,6830
2313203,6106
2313252,1838
2313302,14761
2313351,4969
2313401,23244
2313500,16860
2313559,4291
2313609,9331
2313708,1596
2313757,5055
2313807,5719
