CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio
1100205,CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,11000880,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,4.0,16.0,17.0,8.0,3.0,1.0,1265.0,310.0,10.0,1100205
1100205,CENTRO DE ENSINO MINEIRO,11037474,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,26.0,1.0,3.0,9.0,8.0,4.0,3.0,0.0,603.0,133.0,5.115384615384615,1100205
1100205,COLEGIO CLASSE A,11043857,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,2.0,5.0,5.0,3.0,1.0,0.0,388.0,122.0,8.133333333333333,1100205
1100205,COLEGIO CRISTAO,11048557,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,16.0,20.0,11.0,4.0,0.0,0.0,934.0,98.0,2.8,1100205
1100205,MAPLE BEAR PORTO VELHO,11049006,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,5.0,19.0,8.0,4.0,0.0,0.0,714.0,93.0,2.325,1100205
1100205,COLEGIO SAPIENS - UNIDADE INTENSIVO,11049073,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,73.0,73.0,14.6,1100205
1100205,INSTITUTO EDUCACIONAL ALENCAR FREITAS LTDA - ME,11049340,4,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,4.0,10.0,8.0,3.0,0.0,0.0,421.0,34.0,1.7894736842105263,1100205
1100288,COLEGIO CLARICE LISPECTOR LTDA,11045639,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,253.0,41.0,3.1538461538461537,1100288
1100288,COLEGIO BENEC,11048174,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,4.0,5.0,3.0,2.0,0.0,0.0,99.0,12.0,0.75,1100288
1100304,CENTRO EDUCACIONAL ISOLINA RUTTMANN - SESI,11033215,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,0.0,10.0,8.0,6.0,2.0,0.0,663.0,194.0,9.7,1100304
1100304,COOPERATIVA EDUCACIONAL DE VILHENA,11041951,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,8.0,10.0,8.0,4.0,0.0,0.0,631.0,128.0,4.0,1100304
1100304,COLEGIO PROFESSOR VANKS,11043954,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,156.0,78.0,11.142857142857142,1100304
1200203,ESC INSTITUTO SANTA TERESINHA,12001686,4,1.0,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,1.0,0.0,14.0,8.0,6.0,0.0,0.0,670.0,159.0,5.129032258064516,1200203
1200203,ESC UNIDADE INTEGRADA SESI SENAI DO JURUA FRANCISCO LOUREIRO JOTA,12031836,4,1.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,6.0,16.0,6.0,391.0,0.0,0.0,1200203
1200401,COLEGIO ADVENTISTA DE RIO BRANCO,12010928,4,3.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30.0,1.0,6.0,17.0,12.0,6.0,3.0,0.0,1059.0,201.0,6.7,1200401
1200401,ESC CENTRO EDUCACIONAL E CULTURAL - META,12010936,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,0.0,15.0,12.0,9.0,0.0,0.0,925.0,331.0,7.5227272727272725,1200401
1200401,ESC INSTITUTO IMACULADA CONCEICAO,12014370,4,3.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,3.0,6.0,4.0,3.0,0.0,0.0,312.0,83.0,4.611111111111111,1200401
