"CD_DIST";"NM_DIST";"PERE0115_NOVA";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"130068005";"Boa Vista do Ramos";"1200";"3128";"15816";"6,34";"1330,56";"1909106,88";"1200"
"130068010";"Lago Preto";"1100";"650";"3376";"5,02";"985,51";"320180,97";"1100"
"130068015";"Massauari";"600";"496";"2700";"3,56";"844,11";"205054,01";"600"
"130068020";"Do Rio Urubu";"800";"313";"1840";"3,95";"915,71";"380006,78";"800"
"130070605";"Boca do Acre";"1200";"8665";"30047";"3,35";"1517,66";"4919044,76";"1200"
"130070610";"Floriano Peixoto";"1200";"1402";"4898";"4,23";"1173,74";"1674529,37";"1200"
"130080505";"Borba";"1200";"5980";"24073";"5,04";"1452,74";"4714402,77";"1200"
"130080520";"Canumã";"818";"1431";"6629";"6,19";"979,00";"629254,60";"818"
"130080525";"Axinin";"1170";"450";"1654";"4,42";"1158,52";"1269536,52";"1170"
"130083905";"Caapiranga";"1200";"2964";"13356";"6,96";"1208,27";"1588645,11";"1200"
"130090405";"Canutama";"1000";"2353";"9542";"4,36";"1220,01";"6624792,50";"1000"
"130090410";"Belo Monte";"600";"424";"1678";"4,32";"904,50";"593231,22";"600"
"130090415";"Açuanópolis";"1212";"1739";"5496";"4,25";"1370,65";"2211795,40";"1212"
"130100105";"Carauari";"1100";"7230";"28627";"4,08";"1348,97";"5567759,31";"1100"
"130110005";"Careiro";"1212";"5349";"18545";"3,91";"1472,95";"2483476,67";"1212"
"130110010";"Purupuru";"1200";"2045";"6523";"3,28";"1292,09";"3568787,54";"1200"
"130110015";"Janauacá";"1000";"1651";"5573";"3,10";"1110,05";"1453431,95";"1000"
"130115905";"Careiro da Várzea";"1200";"5757";"19499";"3,14";"1216,73";"4043252,49";"1200"
"130120905";"Coari";"1200";"17528";"70303";"4,85";"1886,17";"2551658184,78";"1200"
"130130805";"Codajás";"1200";"5148";"21603";"5,28";"1391,86";"2850322,78";"1200"
"130130810";"Badajós";"600";"420";"1865";"5,35";"768,20";"309216,97";"600"
"130140705";"Eirunepé";"1200";"8086";"32848";"4,95";"1450,30";"10981999,01";"1200"
"130150605";"Envira";"1200";"4160";"16998";"4,73";"1412,73";"8820322,74";"1200"
"130160505";"Fonte Boa";"1200";"5305";"25505";"7,20";"1342,94";"2099144,54";"1200"
"130165405";"Guajará";"1000";"3611";"13790";"3,92";"1198,27";"2608569,07";"1000"
"130170405";"Humaitá";"1212";"13227";"52509";"5,87";"1913,70";"8851407,84";"1212"
"130170410";"Realidade";"1200";"1089";"4327";"7,76";"1503,70";"3161288,34";"1200"
"130180305";"Ipixuna";"1000";"4789";"23946";"6,28";"1175,57";"1578790,95";"1000"
