codigo_escola,codigo_municipio_enem,qtd_participantes_enem,enem_media_cn,enem_media_ch,enem_media_lc,enem_media_mt,enem_media_redacao,enem_media_geral
11000058,1100205,120,591.1605042016807,585.3575,586.4558333333333,667.272268907563,793.0,644.6287222222222
11000198,1100205,53,543.2392156862745,551.9490566037736,565.2924528301887,592.2980392156863,693.9622641509434,589.3038993710692
11000252,1100205,45,537.5818181818182,557.7377777777778,569.9866666666667,613.3181818181819,702.2222222222222,594.9362962962963
11000350,1100205,49,523.0959183673469,541.1775510204081,554.8000000000001,576.5612244897959,760.8163265306123,591.2902040816326
11000880,1100205,83,514.3000000000001,533.0216867469879,549.1096385542169,553.1879518072288,747.4698795180723,579.4178313253012
11003081,1100205,33,520.369696969697,520.739393939394,543.8727272727273,554.0969696969697,700.6060606060606,567.9369696969696
11003090,1100205,23,525.7217391304348,526.1608695652175,552.5434782608696,537.2391304347826,711.304347826087,570.5939130434782
11006595,1100106,8,491.8375,501.15,513.275,480.9375,595.0,516.4399999999999
11007656,1100023,55,564.4666666666667,544.3490909090909,564.1527272727272,631.8203703703704,746.5454545454545,609.6323636363636
11013737,1100122,56,526.4377358490566,521.9642857142857,539.6857142857143,573.6528301886792,670.3571428571429,566.3433333333334
11015896,1100122,46,511.38695652173914,503.33478260869566,524.5326086956521,500.5608695652174,629.1304347826087,533.7891304347826
11019956,1101302,33,476.328125,477.8,514.8363636363636,465.18125,622.4242424242424,512.0046464646464
11025670,1100049,33,528.9354838709677,550.7303030303029,568.369696969697,591.4032258064516,661.2121212121212,579.9155555555556
11026324,1100049,68,532.4621212121212,559.1926470588235,570.7264705882353,608.7136363636364,763.5294117647059,606.9408823529412
11027290,1100049,66,503.63870967741934,530.010606060606,544.4787878787879,556.6645161290322,696.969696969697,566.459090909091
11027355,1100049,10,471.84,491.52,487.46000000000004,441.55,442.0,466.87399999999997
11030216,1100502,52,498.164,499.6884615384615,510.4173076923077,485.086,550.3846153846154,509.58794871794873
11033215,1100304,58,518.9362068965518,528.255172413793,544.1051724137931,574.2224137931034,675.8620689655172,568.2762068965517
11033738,1100304,17,503.88666666666666,540.4470588235295,557.3294117647059,601.64,711.7647058823529,582.0043137254902
11037474,1100205,31,569.1322580645161,575.8677419354839,578.9709677419354,606.1451612903226,755.483870967742,617.12
11037660,1100122,18,515.2555555555556,554.9722222222222,567.161111111111,582.1944444444445,731.1111111111111,590.1388888888889
11038578,1100098,25,532.98,530.908,552.0319999999999,613.868,679.2,581.7976
11040076,1100114,15,510.76666666666665,559.0,553.4733333333334,576.5666666666667,730.6666666666666,586.0946666666666
11041951,1100304,40,581.8358974358974,584.6800000000001,595.235,690.8179487179488,801.0,649.5895
11043857,1100205,48,593.55625,575.7208333333334,578.3708333333333,630.4270833333334,811.25,637.865
11043954,1100304,24,533.704347826087,530.8347826086957,555.8304347826087,561.1347826086957,714.7826086956521,572.6743055555555
11045639,1100288,11,541.9909090909091,531.6090909090909,540.4818181818182,610.5090909090909,681.8181818181819,581.2818181818182
11048123,1101492,11,512.25,478.3181818181818,529.8454545454546,513.325,500.0,498.74545454545455
11048450,1100205,66,485.39230769230767,508.59999999999997,533.2166666666667,524.7707692307692,666.3636363636364,544.3744444444444
11048557,1100205,18,499.125,526.5999999999999,547.4277777777778,547.0375,663.3333333333334,549.7618518518518
11049006,1100205,14,546.1714285714286,542.2285714285714,571.9714285714286,654.6142857142858,728.5714285714286,608.7114285714285
11049014,1100114,40,479.68947368421055,493.87749999999994,512.385,463.86842105263156,523.5,492.8368333333334
11049073,1100205,37,571.8918918918919,580.9054054054054,587.9594594594595,628.1162162162162,772.4324324324324,628.2610810810811
11049723,1100049,15,577.7866666666666,567.8533333333332,585.7466666666667,640.8466666666667,796.0,633.6466666666668
11050373,1100049,22,524.25,553.5090909090909,573.4181818181819,583.1,763.6363636363636,599.5827272727273
11050950,1100023,11,520.9300000000001,523.1363636363636,534.4545454545455,577.74,650.9090909090909,558.9090909090909
12001686,1200203,42,534.6095238095238,547.7619047619048,552.7309523809524,557.3452380952381,770.952380952381,592.6800000000001
12010928,1200401,49,505.48333333333335,545.830612244898,552.7020408163265,541.3208333333333,661.2244897959183,559.1514285714285
12010936,1200401,117,583.7863247863248,592.9034188034187,589.9230769230769,672.1316239316238,838.2905982905983,655.4070085470086
12012904,1200401,6,489.96000000000004,403.56666666666666,431.7833333333333,443.7,340.0,405.21555555555557
12014370,1200401,24,510.13913043478266,510.92083333333335,533.4499999999999,539.204347826087,650.0,548.9861111111111
12022969,1200401,28,495.0357142857143,532.625,545.4571428571428,574.3321428571429,632.8571428571429,556.0614285714286
12026409,1200401,29,528.2758620689655,537.6551724137931,569.0241379310345,566.951724137931,752.4137931034483,590.8641379310345
12026530,1200401,72,508.4915492957747,548.9694444444444,562.3319444444445,557.8943661971831,722.5,579.7952777777778
12028835,1200401,38,608.1085714285714,611.7026315789474,616.9578947368421,705.4571428571429,829.4736842105264,672.3068421052632
12030058,1200401,46,577.1217391304348,573.8847826086957,586.895652173913,652.15,789.5652173913044,635.9234782608695
12031682,1200401,50,606.686,622.114,615.158,679.88,859.2,676.6075999999999
12033545,1200401,35,490.996875,514.7735294117647,530.1882352941177,502.0375,641.7647058823529,534.9852380952381
13025082,1302603,14,536.0846153846154,558.2928571428572,584.1357142857144,523.6307692307693,615.7142857142857,561.0690476190476
13025139,1302603,6,534.5799999999999,519.5333333333333,505.1166666666666,545.1600000000001,483.3333333333333,511.26666666666665
13025210,1302603,11,528.0181818181818,575.1727272727272,571.2363636363636,585.6545454545454,696.3636363636364,591.289090909091
13025228,1302603,34,479.8529411764706,514.9176470588236,529.9852941176471,503.19705882352946,602.9411764705883,526.1788235294118
13025295,1302603,88,509.81162790697675,522.2829545454546,553.2568181818182,537.8000000000001,648.4090909090909,553.8579545454545
13025333,1302603,37,483.8057142857143,533.4918918918919,544.2054054054054,538.0857142857143,611.8918918918919,543.3758558558559
13025376,1302603,75,519.8783783783783,549.8527027027027,554.8824324324324,553.0432432432432,677.2972972972973,571.2662666666666
13025694,1302603,11,552.3000000000001,549.5090909090909,561.4272727272727,528.9272727272727,672.7272727272727,572.9781818181818
13025872,1302603,88,626.8344827586207,625.5632183908046,616.1,697.0735632183909,811.4942528735633,674.6186363636364
13026020,1302603,14,536.6923076923077,541.3785714285715,522.4428571428572,539.0153846153846,558.5714285714286,532.5014285714286
13026194,1302603,145,533.5428571428571,560.708275862069,572.211724137931,592.9985714285715,746.4827586206897,601.016183908046
13026321,1302603,21,477.14761904761906,517.6952380952381,539.4761904761905,500.39523809523814,620.0,530.9428571428572
13026356,1302603,17,509.62941176470594,527.3117647058823,540.3058823529412,513.935294117647,598.8235294117648,538.0011764705882
13026402,1302603,126,558.6008064516129,572.9666666666667,579.2325396825397,615.1354838709677,712.063492063492,607.6584126984128
13026496,1302603,18,508.9111111111111,534.7333333333333,555.9833333333333,529.0055555555556,635.5555555555555,552.8377777777778
13026500,1302603,28,560.7037037037037,578.05,591.9714285714286,605.837037037037,735.0,613.8619047619048
13026585,1302603,30,540.8931034482758,572.0466666666667,603.2033333333333,635.2413793103449,726.0,612.028
13026631,1302603,16,594.00625,601.5375,604.925,634.125,773.75,641.66875
13026950,1302603,52,532.342,561.1607843137255,575.0764705882353,567.572,652.5490196078431,575.0311538461539
13029860,1302603,15,507.57142857142856,537.34,568.0866666666666,559.1,637.3333333333334,562.8515555555556
13031457,1302603,18,651.0222222222222,655.2611111111112,626.6666666666666,739.7222222222222,820.0,698.5344444444445
13031660,1302603,23,512.7238095238096,519.1608695652175,536.704347826087,534.3904761904762,558.2608695652174,531.4634782608696
13031767,1302603,227,585.6973451327434,611.2779735682819,605.3378854625552,685.1203539823009,787.9295154185022,655.153127753304
13031783,1302603,76,492.0767123287671,501.4653333333334,543.7186666666666,505.8575342465753,593.8666666666667,525.8121929824562
13031791,1302603,14,523.2428571428571,554.5642857142857,579.9928571428571,565.907142857143,700.0,584.7414285714286
13031872,1302603,15,523.24,536.18,560.8333333333334,543.5533333333333,636.0,559.9613333333333
13032020,1302603,40,607.2052631578947,592.2025,610.9375,677.8342105263158,776.5,651.6761666666666
13032127,1302603,76,529.022972972973,571.3118421052632,574.7934210526316,565.2864864864864,770.7894736842105,602.204298245614
13032879,1303569,26,486.62,523.6730769230769,525.9,485.06,603.8461538461538,524.4053846153846
13064207,1302603,42,538.0738095238095,564.2142857142857,570.7047619047619,560.8071428571429,669.5238095238095,580.6647619047619
13064215,1302603,34,510.1764705882353,542.3617647058824,545.0264705882354,528.564705882353,750.0,575.2258823529412
13074130,1302603,11,550.6090909090909,577.9090909090909,579.5363636363636,590.2727272727273,658.1818181818181,591.3018181818181
13076906,1301209,9,483.8666666666667,494.35555555555555,523.8555555555555,491.6666666666667,608.8888888888889,520.5266666666666
13079220,1301902,33,556.1818181818181,557.5,552.9121212121212,545.160606060606,694.5454545454545,581.2600000000001
13080911,1302603,22,513.5052631578948,509.2181818181818,547.8681818181818,546.1,598.1818181818181,537.4515151515151
13081365,1302603,38,503.0666666666667,540.1210526315789,556.4236842105263,575.25,705.2631578947369,574.3636842105263
13084500,1302603,29,512.7464285714285,506.50344827586207,549.248275862069,537.3535714285714,616.551724137931,544.791724137931
13090100,1302603,13,466.68461538461537,491.1615384615385,538.1769230769231,488.7769230769231,524.6153846153846,501.8830769230769
13090186,1302603,21,468.21000000000004,505.2047619047619,509.43333333333334,483.36,613.3333333333334,518.3796825396826
13092308,1302603,24,520.8,535.1958333333333,539.1708333333333,518.0391304347826,577.5,537.1208333333333
13093070,1302603,28,502.4142857142857,512.8321428571428,525.7178571428572,520.6285714285715,637.1428571428571,539.7471428571429
13093126,1302603,22,548.690909090909,570.8363636363637,588.8909090909091,612.209090909091,782.7272727272727,620.670909090909
13096982,1302603,4,409.65,421.325,442.05,390.05,485.0,429.615
13098284,1302603,61,483.905,518.9262295081967,550.2196721311476,522.6083333333333,610.1639344262295,537.868087431694
13098519,1302603,34,499.3911764705882,519.4529411764706,532.7588235294118,492.52941176470586,578.2352941176471,524.4735294117646
13099981,1302603,38,638.6315789473684,641.1289473684211,626.3315789473684,727.8052631578947,801.0526315789474,686.99
13100629,1302603,18,466.4823529411765,500.73888888888894,526.1500000000001,513.964705882353,546.6666666666666,514.0896296296296
13102192,1302603,26,617.7538461538462,629.9846153846154,604.4884615384616,694.5999999999999,797.6923076923077,668.9038461538462
13104586,1302603,19,486.59999999999997,506.9947368421052,523.3631578947368,516.1222222222223,602.1052631578947,525.2694736842105
13105493,1302603,13,589.1461538461539,581.8692307692307,597.4230769230769,654.1692307692308,713.8461538461538,627.2907692307692
13107380,1302603,22,527.915,558.9136363636363,564.4818181818182,556.455,664.5454545454545,574.8051515151515
13108727,1302603,40,497.92564102564097,537.3575,564.8725000000001,553.3256410256411,667.5,564.597
13110314,1302504,10,506.1,538.76,529.14,488.61,628.0,538.1220000000001
13168207,1302603,126,585.4333333333334,593.5864,604.2792,626.9154471544716,815.04,643.37708994709
13313231,1302603,25,619.84,655.128,643.036,752.8560000000001,806.4,695.452
