"CD_BAIRRO";"NM_BAIRRO";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"1100049018";"Jardim Vista Alegre";"1660";"4583";"1,65";"2033,20";"3612833,15";"1500"
"1100049019";"Conjunto Halley";"687";"1988";"1,64";"2608,60";"5713975,11";"1800"
"1100049020";"Conjunto Habitacional Nova Esperança";"332";"795";"1,68";"4679,64";"18240227,29";"3500"
"1100049021";"Sociedade Bela Vista";"285";"799";"1,98";"1621,39";"2672141,79";"1212"
"1100049022";"Josino Brito";"195";"538";"1,78";"2731,49";"3914612,80";"2050"
"1100049023";"Jardim São Pedro";"423";"1068";"1,38";"3390,24";"22887227,91";"2000"
"1100049024";"Morada do Bosque";"226";"640";"1,29";"4367,57";"15311764,14";"3001"
"1100049025";"Jardim Europa";"274";"747";"1,41";"4584,20";"25026441,27";"3000"
"1100049026";"Jardim Itália";"383";"1110";"2,03";"1818,89";"2275930,39";"1400"
"1100049027";"Eldorado";"294";"823";"1,42";"6405,93";"53205230,15";"5000"
"1100049028";"Parque Alvorada";"304";"851";"1,55";"2429,22";"4179649,50";"1800"
"1100049029";"Habitar Brasil";"314";"907";"1,89";"1673,14";"1342020,66";"1300"
"1100049030";"Alphaville";"580";"1602";"1,85";"2640,06";"5366964,92";"2000"
"1100049031";"Colina Verde";"317";"890";"1,96";"1823,34";"1784995,48";"1212"
"1100049032";"Sete de Setembro";"727";"2029";"1,53";"2732,38";"7925915,61";"2000"
"1100049033";"Parque dos Lagos";"248";"769";"1,96";"1912,69";"2093180,22";"1500"
"1100049034";"Alpha Parque";"178";"515";"1,49";"3095,19";"5260314,69";"2424"
"1100049035";"Embratel";"301";"842";"1,42";"3221,17";"10800190,18";"2300"
"1100049036";"Vila Verde";"1144";"3322";"1,51";"3248,54";"17283233,11";"2400"
"1100056001";"Centro";"90";"231";"1,62";"3567,71";"19695544,14";"2500"
"1100056002";"Eldorado";"187";"531";"1,66";"1999,49";"4308509,25";"1212"
"1100056003";"Maranata";"141";"376";"1,51";"4920,44";"24337611,18";"3000"
"1100056004";"Primavera";"140";"347";"1,07";"2451,10";"4188397,42";"2000"
"1100056005";"Liberdade";"200";"525";"1,55";"3236,78";"7117324,06";"2500"
"1100056006";"Alvorada";"299";"800";"1,42";"2271,05";"3055828,96";"1700"
"1100056007";"Floresta";"293";"801";"1,72";"1531,99";"982418,36";"1212"
"1100056008";"Jardim São Paulo";"315";"841";"1,55";"2929,88";"32835889,89";"1800"
"1100056009";"José de Anchieta";"244";"650";"1,64";"2430,29";"4228053,27";"1600"
"1100064001";"Centro";"915";"2280";"1,49";"3844,45";"19902028,82";"2500"
"1100064002";"Cruzeiro";"839";"2199";"1,44";"2321,28";"5767927,35";"1400"
"1100064003";"Jorge Teixeira";"267";"687";"1,45";"1975,74";"2208953,46";"1350"
"1100064004";"Jo Sato";"316";"827";"1,82";"2010,04";"4427523,20";"1212"
"1100064005";"Minas Gerais";"522";"1373";"1,48";"2420,08";"5025832,37";"1600"
"1100064006";"Santa Luzia";"539";"1382";"1,45";"2752,96";"8071719,83";"1800"
"1100064007";"Odilon Noia";"150";"391";"2,13";"1522,63";"804260,65";"1200"
"1100064008";"São José";"398";"1011";"1,39";"3567,09";"11712994,20";"2424"
"1100064009";"Mato Grosso";"309";"747";"1,49";"2071,06";"2910905,95";"1275"
"1100064010";"Industrial";"111";"319";"1,84";"2257,89";"7539869,63";"1500"
