CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,NO_DISTRITO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,CO_CEP,LATITUDE,LONGITUDE,NU_CNPJ_MANTENEDORA
1100106,ESCOLA TOUFIA TANOUS BOUCHABKI,11006595,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,5.0,4.0,2.0,0.0,0.0,131.0,18.0,1.8,1100106,Guajará-Mirim,AV.DR.MENDONCA LIMA,1498,,76850000,-10.7824229,-65.3368269,4291233000141.0
1100114,COOPERATIVA DE PROFISSIONAIS EM EDUCACAO,11040076,4,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,15.0,1.0,0.0,3.0,5.0,4.0,3.0,0.0,0.0,352.0,84.0,5.6,1100114,Jaru,RUA RIO DEJANEIRO,2436,,76890000,-10.4431285,-62.4706698,6079709000100.0
1100114,ESCOLA FAMILIA AGRICOLA DOM ANTONIO POSSAMAI,11049014,4,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,113.0,113.0,28.25,1100114,Jaru,LINHA 623 KM 2,,,76890000,-10.4309926,-62.52225449,7639001000120.0
1100122,COLEGIO ADVENTISTA DE JI-PARANA,11013737,4,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,21.0,1.0,0.0,6.0,10.0,11.0,6.0,0.0,0.0,794.0,210.0,10.0,1100122,Ji-Paraná,JOAO BATISTA NETO,1371,NOVA BRASÍLIA,76908494,-10.8899347,-61.9174076,17340112002138.0
1100122,ESCOLA FAMILIA AGRICOLA ITAPIREMA,11015896,4,2.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,211.0,211.0,70.33333333333333,1100122,Ji-Paraná,LINHA 4 KM9,S/N,AREA RURAL DE JI-PARANA,76914899,-10.8410207,-62.0299164,2703555000125.0
1100122,COLEGIO UNIAO,11037660,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,18.0,1.0,0.0,8.0,10.0,7.0,3.0,0.0,0.0,394.0,67.0,3.7222222222222223,1100122,Ji-Paraná,RUA ALMIRANTE BARROSO,1422,CENTRO,76900079,-10.8786152,-61.9482849,32961839000182.0
1100122,COLEGIO EDUCAR,11049294,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,1.0,0.0,3.0,11.0,8.0,2.0,1.0,0.0,282.0,19.0,1.1176470588235294,1100122,Ji-Paraná,BARAO DO RIO BRANCO,1751,NOVA BRASILIA,76908614,-10.8871117,-61.9136617,16798881000178.0
1100122,CLARETIANO COLEGIO JI-PARANA,11051000,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,1.0,0.0,4.0,6.0,4.0,2.0,0.0,0.0,314.0,31.0,1.9375,1100122,Ji-Paraná,PASTOR SEVERO ANTONIO DE ARAUJO,1601,ECOVILLE,76902500,,,44943835000150.0
1100130,CD - DRUMMOND EDUCACIONAL,11049901,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,1.0,0.0,5.0,6.0,4.0,3.0,0.0,0.0,258.0,34.0,3.4,1100130,Machadinho D'Oeste,AV. MARECHAL DEODORO DA FONSECA,2486,,76868000,-9.431900141,-62.00703621,17746923000190.0
1100155,COLEGIO UNEOURO,11016248,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,16.0,1.0,0.0,4.0,5.0,4.0,3.0,0.0,0.0,224.0,36.0,2.25,1100155,Ouro Preto do Oeste,RUA ALTO ALEGRE,494,,76920000,-10.7125621,-62.2717928,15522047000192.0
