CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,DS_ENDERECO,NU_ENDERECO,CO_CEP,NU_CNPJ_MANTENEDORA
3524006,NATUREZA COLEGIO,35363650,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,2.0,7.0,5.0,3.0,0.0,0.0,236.0,32.0,2.0,3524006,BRASIL,1751,13296082,5955759000141.0
3524006,INTERACAO COLEGIO,35450522,4,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,1.0,8.0,10.0,8.0,1.0,0.0,0.0,469.0,17.0,0.7083333333333334,3524006,ITALIA,328,13295114,11952356000141.0
3524105,COLEGIO ALBERT SABIN,35010219,4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,4.0,6.0,0.0,0.0,134.0,28.0,3.5,3524105,FABIANO ALVES DE FREITAS,130,14500023,51959481000106.0
3524105,OBJETIVO DE ITUVERAVA COLEGIO,35125313,4,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30.0,1.0,10.0,8.0,6.0,5.0,0.0,0.0,592.0,169.0,5.633333333333334,3524105,MARIA LIPORACI,159,14503134,57715765000125.0
3524105,FRANCISCO DE ASSIS ESCOLA DE EI E EF,35142931,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,14.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,224.0,25.0,1.7857142857142858,3524105,DOM PEDRO I,568,14503046,48528681000191.0
3524303,SESI 317 CENTRO EDUCACIONAL,35114561,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,0.0,10.0,8.0,6.0,4.0,0.0,757.0,184.0,8.761904761904763,3524303,SEBASTIAO MORGATTO,151,14887388,3779133000104.0
3524303,SANTO ANDRE COLEGIO,35114583,4,3.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,36.0,1.0,15.0,11.0,8.0,5.0,3.0,0.0,683.0,129.0,3.583333333333333,3524303,FLORIANO PEIXOTO,1033,14870810,61038436000164.0
3524303,UNIDADE JABOTICABAL DE ENSINO COLEGIO,35141409,4,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,78.0,35.0,2.5,3524303,JUCA QUITO,618,14870260,58145749000107.0
3524303,COLEGIO MARIA,35172935,4,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.0,1.0,10.0,10.0,4.0,3.0,0.0,0.0,378.0,57.0,3.1666666666666665,3524303,CAETANO PALAZZO,50E90,14890234,490237000106.0
3524303,NOSSA SENHORA DO CARMO COLEGIO,35258106,4,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,26.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,326.0,81.0,3.1153846153846154,3524303,VICENTE QUIRINO PROFESSOR,644,14882075,2747671000146.0
