CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,codigo_escola,qtd_participantes_enem,enem_media_geral,indice_infra,indice_inclusao,confiavel_enem,percentil_enem,percentil_infra,percentil_inclusao,percentil_seletividade,score_destaque
1100205,CENTRO DE ENSINO MINEIRO,11037474,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,26.0,1.0,0.0,3.0,9.0,8.0,4.0,3.0,0.0,603.0,133.0,5.115384615384615,1100205,11037474,31.0,617.12,3.0,1.0,True,0.6578835529111772,0.3556098597535062,0.4978750531236719,0.3822779430514237,0.5908
1100205,COLEGIO CLASSE A,11043857,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,1.0,0.0,2.0,5.0,5.0,3.0,1.0,0.0,388.0,122.0,8.133333333333333,1100205,11043857,48.0,637.865,5.0,1.0,True,0.7838929026774331,0.8642158946026349,0.4978750531236719,0.3822779430514237,0.7616
1100205,ESCOLA MARCELO CANDIA SUBSEDE I,11048450,4,4.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,0.0,0.0,16.0,12.0,10.0,0.0,0.0,1395.0,344.0,17.2,1100205,11048450,66.0,544.3744444444444,5.0,2.0,True,0.1109222269443264,0.8642158946026349,0.8889715257118572,0.3822779430514237,0.2764
1100205,COLEGIO CRISTAO,11048557,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,0.0,16.0,20.0,11.0,4.0,0.0,0.0,934.0,98.0,2.8,1100205,11048557,18.0,549.7618518518518,5.0,2.0,True,0.14300892477688057,0.8642158946026349,0.8889715257118572,0.3822779430514237,0.3005
1100205,MAPLE BEAR PORTO VELHO,11049006,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0,5.0,19.0,8.0,4.0,0.0,0.0,714.0,93.0,2.325,1100205,11049006,14.0,608.7114285714285,5.0,0.0,True,0.5983850403739907,0.8642158946026349,0.1090097747556311,0.3822779430514237,0.603
1100205,COLEGIO SAPIENS - UNIDADE INTENSIVO,11049073,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,73.0,73.0,14.6,1100205,11049073,37.0,628.2610810810811,5.0,1.0,True,0.7280067998300043,0.8642158946026349,0.4978750531236719,0.3822779430514237,0.7196
1100205,INSTITUTO EDUCACIONAL ALENCAR FREITAS LTDA - ME,11049340,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,0.0,4.0,10.0,8.0,3.0,0.0,0.0,421.0,34.0,1.7894736842105263,1100205,11049340,,,3.0,2.0,False,,,,,
1200401,COLEGIO ADVENTISTA DE RIO BRANCO,12010928,4,3.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,30.0,1.0,0.0,6.0,17.0,12.0,6.0,3.0,0.0,1059.0,201.0,6.7,1200401,12010928,49.0,559.1514285714285,4.0,2.0,True,0.20526986825329366,0.5939226519337016,0.8889715257118572,0.3822779430514237,0.3066
1200401,ESC CENTRO EDUCACIONAL E CULTURAL - META,12010936,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,0.0,0.0,15.0,12.0,9.0,0.0,0.0,925.0,331.0,7.522727272727272,1200401,12010936,117.0,655.4070085470086,4.0,2.0,True,0.8782405439864004,0.5939226519337016,0.8889715257118572,0.3822779430514237,0.8113
1200401,ESC INSTITUTO IMACULADA CONCEICAO,12014370,4,3.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,0.0,3.0,6.0,4.0,3.0,0.0,0.0,312.0,83.0,4.611111111111111,1200401,12014370,24.0,548.9861111111111,4.0,2.0,True,0.1389715257118572,0.5939226519337016,0.8889715257118572,0.3822779430514237,0.2569
