CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,qt_mat_med_2025,mat_por_sala,codigo_municipio,qt_mat_med_2023,crescimento_pct
1302603,ESCOLA RENASCER,13073826,4,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,1.0,4.0,10.0,8.0,1.0,0.0,0.0,313.0,10.0,0.8333333333333334,1302603,0.0,
1302603,CENTRO EDUCACIONAL SANDRA CAVALCANTE,13074130,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,19.0,1.0,6.0,10.0,7.0,3.0,0.0,0.0,405.0,43.0,2.263157894736842,1302603,35.0,22.9
1302603,CENTRO METROPOLITANO DE ENSINO LTDA,13080911,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,36.0,1.0,4.0,6.0,8.0,3.0,1.0,13.0,690.0,97.0,2.6944444444444446,1302603,136.0,-28.7
1302603,CENTRO DE EDUCACAO PROFISSIONAL LTDA - CENTRO DE ENSINO LITERATUS,13081101,4,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,1.0,33.0,0.0,540.0,0.0,0.0,1302603,0.0,
1302603,ESCOLAS IDAAM,13081365,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1.0,0.0,5.0,6.0,4.0,0.0,0.0,415.0,135.0,0.6683168316831684,1302603,127.0,6.3
1302603,ESCOLA EVANGELICA BETEL,13084500,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,10.0,18.0,12.0,5.0,0.0,0.0,848.0,119.0,4.407407407407407,1302603,139.0,-14.4
1302603,CENTRO EDUCACIONAL DRIHELLY BARBOSA,13090100,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,12.0,1.0,2.0,6.0,7.0,3.0,1.0,0.0,299.0,72.0,6.0,1302603,100.0,-28.0
1302603,CENTRO EDUCACIONAL IMPERIAL,13090186,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,4.0,20.0,13.0,3.0,0.0,0.0,1071.0,108.0,4.909090909090909,1302603,96.0,12.5
1302603,ESCOLA CELUS LTDA,13092308,4,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,10.0,8.0,6.0,0.0,0.0,567.0,138.0,11.5,1302603,95.0,45.3
1302603,INSTITUTO DE EDUCACAO EL SHADAY,13093070,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,24.0,1.0,10.0,20.0,14.0,8.0,0.0,0.0,899.0,170.0,7.083333333333333,1302603,139.0,22.3
