codigo_escola;faixa_rank_cidade;faixa_ordem
29149908;Top 5;1
29392349;Top 5;1
29641608;Top 5;1
29353556;Top 5;1
29433002;Top 5;1
29436168;Top 5;1
29472440;Top 5;1
29482240;Top 5;1
29422370;Top 5;1
29455430;Top 5;1
29478901;Top 5;1
29480620;Top 5;1
29569605;Top 5;1
29318297;Top 5;1
29318335;Top 5;1
29318653;Top 5;1
29354900;Top 5;1
29093643;Top 5;1
29094046;Top 5;1
29342872;Top 5;1
29342880;Top 5;1
29437261;Top 5;1
29301505;Top 5;1
29301513;Top 5;1
29388341;Top 5;1
29406579;Top 5;1
29450640;Top 5;1
29304385;Top 5;1
29304393;Top 5;1
29304407;Top 5;1
29456096;Top 5;1
29478448;Top 5;1
29227720;Top 5;1
29408148;Top 5;1
29408156;Top 5;1
29467950;Top 5;1
29024498;Top 5;1
29024595;Top 5;1
29441064;Top 5;1
29178223;Top 5;1
29359287;Top 5;1
29428289;Top 5;1
29530210;Top 5;1
29609607;Top 5;1
29427924;Top 5;1
29432359;Top 5;1
29451876;Top 5;1
29480370;Top 5;1
29034981;Top 5;1
29365406;Top 5;1
29389992;Top 5;1
29343747;Top 5;1
29439833;Top 5;1
29451990;Top 5;1
29714630;Top 5;1
29738628;Top 5;1
29200091;Top 5;1
29365023;Top 5;1
29422272;Top 5;1
29447518;Top 5;1
29485541;Top 5;1
29171652;Top 5;1
29400340;Top 5;1
29406080;Top 5;1
29472466;Top 5;1
29480310;Top 5;1
29201969;Top 5;1
29469287;Top 5;1
29327822;Top 5;1
29328560;Top 5;1
29478952;Top 5;1
29489504;Top 5;1
29277744;Top 5;1
29433380;Top 5;1
29470153;Top 5;1
29486696;Top 5;1
29542618;Top 5;1
31170208;Top 5;1
31170216;Top 5;1
31239666;Top 5;1
31278912;Top 5;1
31340367;Top 5;1
31166090;Top 5;1
31166103;Top 5;1
31218553;Top 5;1
31371777;Top 5;1
31018767;Top 5;1
31018864;Top 5;1
31371769;Top 5;1
31376850;Top 5;1
31004031;Top 5;1
31004651;Top 5;1
31004812;Top 5;1
31006238;Top 5;1
31006394;Top 5;1
31013935;Top 5;1
31223123;Top 5;1
31235555;Top 5;1
31276651;Top 5;1
31353906;Top 5;1
31196177;Top 5;1
31210595;Top 5;1
31305235;Top 5;1
31339989;Top 5;1
31014061;Top 5;1
31267007;Top 5;1
31277177;Top 5;1
31014087;Top 5;1
31357120;Top 5;1
31193020;Top 5;1
31193038;Top 5;1
31238180;Top 5;1
31041181;Top 5;1
31041190;Top 5;1
31041262;Top 5;1
31281921;Top 5;1
31291986;Top 5;1
31053953;Top 5;1
31054011;Top 5;1
31054071;Top 5;1
31054135;Top 5;1
31329762;Top 5;1
31193097;Top 5;1
31193160;Top 5;1
31251763;Top 5;1
31349720;Top 5;1
31193216;Top 5;1
31105899;Top 5;1
31105902;Top 5;1
31361496;Top 5;1
31368113;Top 5;1
31377767;Top 5;1
31198846;Top 5;1
31332721;Top 5;1
31382698;Top 5;1
31074098;Top 5;1
31074101;Top 5;1
31074373;Top 5;1
31317101;Top 5;1
31354910;Top 5;1
31205231;Top 5;1
31205265;Top 5;1
31328294;Top 5;1
31346314;Top 5;1
31354848;Top 5;1
31096261;Top 5;1
31096270;Top 5;1
31260541;Top 5;1
31367710;Top 5;1
31370100;Top 5;1
31102563;Top 5;1
31305847;Top 5;1
31377899;Top 5;1
31229865;Top 5;1
31249483;Top 5;1
31333921;Top 5;1
31341550;Top 5;1
31354600;Top 5;1
31296261;Top 5;1
31342122;Top 5;1
31118320;Top 5;1
31118346;Top 5;1
31223883;Top 5;1
31294900;Top 5;1
31362735;Top 5;1
31123501;Top 5;1
31123536;Top 5;1
31123544;Top 5;1
31321079;Top 5;1
31371696;Top 5;1
31127965;Top 5;1
31128023;Top 5;1
31128031;Top 5;1
31128058;Top 5;1
31222976;Top 5;1
31062201;Top 5;1
31062235;Top 5;1
31327026;Top 5;1
31343781;Top 5;1
31358266;Top 5;1
31253936;Top 5;1
31014494;Top 5;1
31293423;Top 5;1
31316059;Top 5;1
31212067;Top 5;1
31215830;Top 5;1
31349399;Top 5;1
31145734;Top 5;1
31260908;Top 5;1
31334049;Top 5;1
31367672;Top 5;1
31379719;Top 5;1
31158101;Top 5;1
31158143;Top 5;1
31242918;Top 5;1
31378496;Top 5;1
31184331;Top 5;1
31184349;Top 5;1
31372013;Top 5;1
31166332;Top 5;1
31320536;Top 5;1
31354562;Top 5;1
31377953;Top 5;1
31382655;Top 5;1
31170402;Top 5;1
31170461;Top 5;1
31170607;Top 5;1
31352195;Top 5;1
31384909;Top 5;1
31180599;Top 5;1
31180602;Top 5;1
31180611;Top 5;1
31293687;Top 5;1
31316237;Top 5;1
31371742;Top 5;1
32052120;Top 5;1
32052936;Top 5;1
32053070;Top 5;1
32081502;Top 5;1
32134002;Top 5;1
32034377;Top 5;1
32034520;Top 5;1
32035217;Top 5;1
32076363;Top 5;1
32070276;Top 5;1
32010311;Top 5;1
32010400;Top 5;1
32074182;Top 5;1
32043325;Top 5;1
32021828;Top 5;1
32076223;Top 5;1
32080778;Top 5;1
32018134;Top 5;1
32064101;Top 5;1
32070594;Top 5;1
32097603;Top 5;1
32065310;Top 5;1
32066880;Top 5;1
32036671;Top 5;1
32065353;Top 5;1
32070845;Top 5;1
32038178;Top 5;1
32038224;Top 5;1
32038240;Top 5;1
32038720;Top 5;1
32083343;Top 5;1
32040032;Top 5;1
32040040;Top 5;1
32041152;Top 5;1
32041411;Top 5;1
32074964;Top 5;1
33036659;Top 5;1
33036675;Top 5;1
33132089;Top 5;1
33156913;Top 5;1
33164541;Top 5;1
33026360;Top 5;1
33026378;Top 5;1
33026424;Top 5;1
33168202;Top 5;1
33195463;Top 5;1
33029318;Top 5;1
33029482;Top 5;1
33029490;Top 5;1
33125023;Top 5;1
33199949;Top 5;1
33451222;Top 5;1
33451290;Top 5;1
33027404;Top 5;1
33027722;Top 5;1
33150761;Top 5;1
33155585;Top 5;1
33178976;Top 5;1
33008221;Top 5;1
33009783;Top 5;1
33106754;Top 5;1
33120544;Top 5;1
33199558;Top 5;1
33101612;Top 5;1
33178518;Top 5;1
33181713;Top 5;1
33194270;Top 5;1
33101469;Top 5;1
33098867;Top 5;1
33098980;Top 5;1
33157383;Top 5;1
33196826;Top 5;1
33051828;Top 5;1
33103437;Top 5;1
33149763;Top 5;1
33171793;Top 5;1
33195978;Top 5;1
33146675;Top 5;1
33212600;Top 5;1
33439818;Top 5;1
33015546;Top 5;1
33139881;Top 5;1
33166927;Top 5;1
33170401;Top 5;1
33183228;Top 5;1
33130442;Top 5;1
33138567;Top 5;1
33206007;Top 5;1
33313210;Top 5;1
33053367;Top 5;1
33115478;Top 5;1
33130086;Top 5;1
33131236;Top 5;1
33181217;Top 5;1
33203130;Top 5;1
33115273;Top 5;1
33152721;Top 5;1
33054851;Top 5;1
33111774;Top 5;1
33157251;Top 5;1
33197946;Top 5;1
33182884;Top 5;1
33055866;Top 5;1
33057109;Top 5;1
33057206;Top 5;1
33155259;Top 5;1
33165920;Top 5;1
33021660;Top 5;1
33021724;Top 5;1
33021740;Top 5;1
33145237;Top 5;1
33155860;Top 5;1
33058164;Top 5;1
33060312;Top 5;1
33101809;Top 5;1
33184453;Top 5;1
33187681;Top 5;1
33039976;Top 5;1
33040516;Top 5;1
33182108;Top 5;1
33041105;Top 5;1
33151369;Top 5;1
33061629;Top 5;1
33061670;Top 5;1
33062161;Top 5;1
33103283;Top 5;1
33196133;Top 5;1
33031371;Top 5;1
33031410;Top 5;1
33031649;Top 5;1
33439796;Top 5;1
33541221;Top 5;1
33025673;Top 5;1
33149550;Top 5;1
33172234;Top 5;1
33174881;Top 5;1
33195552;Top 5;1
33062633;Top 5;1
33063656;Top 5;1
33063729;Top 5;1
33100713;Top 5;1
33104220;Top 5;1
33088780;Top 5;1
33089167;Top 5;1
33089248;Top 5;1
33089825;Top 5;1
33090734;Top 5;1
33092346;Top 5;1
33092982;Top 5;1
33143145;Top 5;1
33171670;Top 5;1
33190674;Top 5;1
33028079;Top 5;1
33028567;Top 5;1
33142645;Top 5;1
33190160;Top 5;1
33226210;Top 5;1
33042462;Top 5;1
33042560;Top 5;1
33042578;Top 5;1
33043086;Top 5;1
33182094;Top 5;1
33032882;Top 5;1
33147450;Top 5;1
33163863;Top 5;1
33188823;Top 5;1
33447250;Top 5;1
35112094;Top 5;1
35125659;Top 5;1
35132007;Top 5;1
35144502;Top 5;1
35499778;Top 5;1
35007668;Top 5;1
35010308;Top 5;1
35132780;Top 5;1
35141434;Top 5;1
35160600;Top 5;1
35152031;Top 5;1
35174348;Top 5;1
35445848;Top 5;1
35463085;Top 5;1
35587023;Top 5;1
35006976;Top 5;1
35113335;Top 5;1
35259559;Top 5;1
35325880;Top 5;1
35801793;Top 5;1
35004818;Top 5;1
35117389;Top 5;1
35159700;Top 5;1
35192077;Top 5;1
35803200;Top 5;1
35112318;Top 5;1
35137224;Top 5;1
35137881;Top 5;1
35143112;Top 5;1
35155664;Top 5;1
35114236;Top 5;1
35142827;Top 5;1
35142839;Top 5;1
35304414;Top 5;1
35358472;Top 5;1
35135227;Top 5;1
35138009;Top 5;1
35175614;Top 5;1
35195005;Top 5;1
35326343;Top 5;1
35006599;Top 5;1
35118114;Top 5;1
35373886;Top 5;1
35441995;Top 5;1
35467066;Top 5;1
35009792;Top 5;1
35100419;Top 5;1
35116828;Top 5;1
35116853;Top 5;1
35123419;Top 5;1
35111454;Top 5;1
35111466;Top 5;1
35111485;Top 5;1
35466153;Top 5;1
35480617;Top 5;1
35112422;Top 5;1
35125222;Top 5;1
35134326;Top 5;1
35165396;Top 5;1
35197440;Top 5;1
35112513;Top 5;1
35112562;Top 5;1
35112768;Top 5;1
35112896;Top 5;1
35112902;Top 5;1
35109502;Top 5;1
35131600;Top 5;1
35195133;Top 5;1
35259238;Top 5;1
35366791;Top 5;1
35119659;Top 5;1
35301279;Top 5;1
35364125;Top 5;1
35448527;Top 5;1
35811403;Top 5;1
35116026;Top 5;1
35143613;Top 5;1
35143996;Top 5;1
35581021;Top 5;1
35808076;Top 5;1
35139646;Top 5;1
35142682;Top 5;1
35144204;Top 5;1
35159177;Top 5;1
35568173;Top 5;1
35175024;Top 5;1
35286138;Top 5;1
35005199;Top 5;1
35108509;Top 5;1
35135136;Top 5;1
35139142;Top 5;1
35144125;Top 5;1
35141159;Top 5;1
35196685;Top 5;1
35197048;Top 5;1
35560145;Top 5;1
35583443;Top 5;1
35126640;Top 5;1
35139610;Top 5;1
35159359;Top 5;1
35191188;Top 5;1
35114467;Top 5;1
35114510;Top 5;1
35139373;Top 5;1
35172625;Top 5;1
35258143;Top 5;1
35119520;Top 5;1
35124503;Top 5;1
35813936;Top 5;1
35004887;Top 5;1
35110668;Top 5;1
35125830;Top 5;1
35143625;Top 5;1
35154436;Top 5;1
35133772;Top 5;1
35186259;Top 5;1
35195790;Top 5;1
35196976;Top 5;1
35009768;Top 5;1
35108112;Top 5;1
35108145;Top 5;1
35133115;Top 5;1
35144216;Top 5;1
35468400;Top 5;1
35112252;Top 5;1
35134314;Top 5;1
35144548;Top 5;1
35568028;Top 5;1
35585488;Top 5;1
35161123;Top 5;1
35439368;Top 5;1
35439599;Top 5;1
35809044;Top 5;1
35813000;Top 5;1
35103081;Top 5;1
35132950;Top 5;1
35115642;Top 5;1
35137716;Top 5;1
35150344;Top 5;1
35429259;Top 5;1
35441922;Top 5;1
35111569;Top 5;1
35125696;Top 5;1
35140703;Top 5;1
35159141;Top 5;1
35382619;Top 5;1
35143029;Top 5;1
35174920;Top 5;1
35810575;Top 5;1
35150289;Top 5;1
35169328;Top 5;1
35172856;Top 5;1
35179383;Top 5;1
35805048;Top 5;1
35071092;Top 5;1
35085455;Top 5;1
35113086;Top 5;1
35153126;Top 5;1
35811683;Top 5;1
35006190;Top 5;1
35143352;Top 5;1
35172959;Top 5;1
35802086;Top 5;1
35802189;Top 5;1
35126196;Top 5;1
35135616;Top 5;1
35137194;Top 5;1
35155871;Top 5;1
35167800;Top 5;1
35109356;Top 5;1
