unidade_propria;coordenada_exata;escola_lead;cidade;bairro;segmento_comercial;score_destaque;distancia_km;risco_canibalizacao
São Paulo (Perdizes/Barra Funda);True;OBJETIVO COLEGIO INTEGRADO;São Paulo;BELA VISTA;Líder local;0,9266;4,66;MODERADO (2-5km)
São Paulo (Perdizes/Barra Funda);True;COLEGIO SANTO IVO;São Paulo;ALTO DA LAPA;Outras posições;0,8062;4,81;MODERADO (2-5km)
São Paulo (Perdizes/Barra Funda);True;OBJETIVO COLEGIO I UNIDADE PINHEIROS;São Paulo;PINHEIROS;Outras posições;0,7784;4,88;MODERADO (2-5km)
Campinas (Taquaral);True;COMUNITARIA DE CAMPINAS ESCOLA;Campinas;PARQUE DA HIPICA;Desafiante (2º-5º local);0,7728;5,09;MODERADO (3-6km)
São José dos Campos (Jd. Esplanada);True;INSPIRE COLEGIO;São José dos Campos;VILA TATETUBA;Desafiante (2º-5º local);0,8085;5,25;MODERADO (3-6km)
São Paulo (Vila Mariana, coord. aproximada);False;EQUIPE COLEGIO;São Paulo;SANTA CECILIA;Outras posições;0,743;5,43;baixo
São Paulo (Vila Mariana, coord. aproximada);False;PENTAGONO COLEGIO UNIDADE CAIUBI;São Paulo;PERDIZES;Outras posições;0,8551;5,72;baixo
São Paulo (Vila Mariana, coord. aproximada);False;VERTICE COLEGIO UNIDADE II;São Paulo;CAMPO BELO;Outras posições;0,8659;5,72;baixo
São Paulo (Perdizes/Barra Funda);True;IMPERATRIZ LEOPOLDINA COLEGIO;São Paulo;SANTANA;Outras posições;0,8229;6,04;baixo
São Paulo (Perdizes/Barra Funda);True;NOSSA SENHORA DAS GRACAS ESCOLA;São Paulo;ITAIM BIBI;Outras posições;0,7215;6,09;baixo
São Paulo (Perdizes/Barra Funda);True;BANDEIRANTES COLEGIO EFM;São Paulo;VILA MARIANA;Outras posições;0,8652;6,24;baixo
São Paulo (Perdizes/Barra Funda);True;BENJAMIN CONSTANT COLEGIO;São Paulo;VILA MARIANA;Outras posições;0,7504;6,42;baixo
São Paulo (Vila Mariana, coord. aproximada);False;STOCKLER COLEGIO;São Paulo;BROOKLIN PAULISTA;Outras posições;0,7913;6,43;baixo
São Paulo (Vila Mariana, coord. aproximada);False;PALMARES COLEGIO EFM;São Paulo;PINHEIROS;Outras posições;0,7118;6,51;baixo
São Paulo (Vila Mariana, coord. aproximada);False;OBJETIVO COLEGIO I UNIDADE PINHEIROS;São Paulo;PINHEIROS;Outras posições;0,7784;6,54;baixo
São Paulo (Vila Mariana, coord. aproximada);False;GREEN BOOK SCHOOL ENSINO FUNDAMENTAL E MEDIO;São Paulo;CAMPO BELO;Outras posições;0,7113;6,58;baixo
São Paulo (Perdizes/Barra Funda);True;ETAPA COLEGIO DE EFM;São Paulo;VILA MARIANA;Outras posições;0,8788;6,6;baixo
São Paulo (Perdizes/Barra Funda);True;ETAPA III COLEGIO;São Paulo;VILA MARIANA;Outras posições;0,7962;6,61;baixo
São Paulo (Perdizes/Barra Funda);True;JARDIM SAO PAULO COLEGIO;São Paulo;JARDIM SAO PAULO;Outras posições;0,8716;6,72;baixo
