codigo_escola;segmento_golden_lead;segmento_ordem
25071106;🟡 Golden Leads (1.127);1
25073214;🟡 Golden Leads (1.127);1
25130676;🟡 Golden Leads (1.127);1
25133519;🟡 Golden Leads (1.127);1
25134167;🟡 Golden Leads (1.127);1
25213806;🟡 Golden Leads (1.127);1
25093061;🟡 Golden Leads (1.127);1
25093088;🟡 Golden Leads (1.127);1
25093096;🟡 Golden Leads (1.127);1
25097539;🟡 Golden Leads (1.127);1
25115260;🟡 Golden Leads (1.127);1
25120298;🟡 Golden Leads (1.127);1
25125958;🟡 Golden Leads (1.127);1
25129899;🟡 Golden Leads (1.127);1
25132059;🟡 Golden Leads (1.127);1
25132598;🟡 Golden Leads (1.127);1
25133012;🟡 Golden Leads (1.127);1
25133454;🟡 Golden Leads (1.127);1
25133861;🟡 Golden Leads (1.127);1
25133985;🟡 Golden Leads (1.127);1
25153820;🟡 Golden Leads (1.127);1
25306936;🟡 Golden Leads (1.127);1
25164805;🟡 Golden Leads (1.127);1
26186896;🟡 Golden Leads (1.127);1
26053837;🟡 Golden Leads (1.127);1
26184834;🟡 Golden Leads (1.127);1
26108585;🟡 Golden Leads (1.127);1
26175240;🟡 Golden Leads (1.127);1
26529807;🟡 Golden Leads (1.127);1
26033909;🟡 Golden Leads (1.127);1
26033950;🟡 Golden Leads (1.127);1
26193957;🟡 Golden Leads (1.127);1
26117584;🟡 Golden Leads (1.127);1
26117991;🟡 Golden Leads (1.127);1
26118165;🟡 Golden Leads (1.127);1
26118262;🟡 Golden Leads (1.127);1
26122081;🟡 Golden Leads (1.127);1
26122090;🟡 Golden Leads (1.127);1
26122154;🟡 Golden Leads (1.127);1
26122162;🟡 Golden Leads (1.127);1
26122359;🟡 Golden Leads (1.127);1
26124220;🟡 Golden Leads (1.127);1
26137631;🟡 Golden Leads (1.127);1
26152630;🟡 Golden Leads (1.127);1
26153050;🟡 Golden Leads (1.127);1
26156202;🟡 Golden Leads (1.127);1
26160307;🟡 Golden Leads (1.127);1
26162016;🟡 Golden Leads (1.127);1
26163039;🟡 Golden Leads (1.127);1
26181231;🟡 Golden Leads (1.127);1
26187353;🟡 Golden Leads (1.127);1
26189569;🟡 Golden Leads (1.127);1
26190451;🟡 Golden Leads (1.127);1
26194236;🟡 Golden Leads (1.127);1
26194619;🟡 Golden Leads (1.127);1
26197405;🟡 Golden Leads (1.127);1
26534711;🟡 Golden Leads (1.127);1
26095882;🟡 Golden Leads (1.127);1
27224821;🟡 Golden Leads (1.127);1
27227189;🟡 Golden Leads (1.127);1
27235009;🟡 Golden Leads (1.127);1
27035000;🟡 Golden Leads (1.127);1
27037380;🟡 Golden Leads (1.127);1
27218180;🟡 Golden Leads (1.127);1
27218244;🟡 Golden Leads (1.127);1
27220885;🟡 Golden Leads (1.127);1
27226115;🟡 Golden Leads (1.127);1
28017757;🟡 Golden Leads (1.127);1
28017781;🟡 Golden Leads (1.127);1
28017803;🟡 Golden Leads (1.127);1
28017820;🟡 Golden Leads (1.127);1
28017943;🟡 Golden Leads (1.127);1
28018109;🟡 Golden Leads (1.127);1
28020049;🟡 Golden Leads (1.127);1
28032322;🟡 Golden Leads (1.127);1
28032799;🟡 Golden Leads (1.127);1
28037723;🟡 Golden Leads (1.127);1
28031563;🟡 Golden Leads (1.127);1
28033450;🟡 Golden Leads (1.127);1
28037863;🟡 Golden Leads (1.127);1
29149860;🟡 Golden Leads (1.127);1
29149908;🟡 Golden Leads (1.127);1
29353556;🟡 Golden Leads (1.127);1
29433002;🟡 Golden Leads (1.127);1
29472440;🟡 Golden Leads (1.127);1
29480620;🟡 Golden Leads (1.127);1
29354900;🟡 Golden Leads (1.127);1
29093619;🟡 Golden Leads (1.127);1
29093627;🟡 Golden Leads (1.127);1
29093643;🟡 Golden Leads (1.127);1
29094046;🟡 Golden Leads (1.127);1
29342872;🟡 Golden Leads (1.127);1
29342880;🟡 Golden Leads (1.127);1
29437261;🟡 Golden Leads (1.127);1
29304407;🟡 Golden Leads (1.127);1
29456096;🟡 Golden Leads (1.127);1
29408148;🟡 Golden Leads (1.127);1
29467950;🟡 Golden Leads (1.127);1
29178223;🟡 Golden Leads (1.127);1
29359287;🟡 Golden Leads (1.127);1
29530210;🟡 Golden Leads (1.127);1
29609607;🟡 Golden Leads (1.127);1
29427924;🟡 Golden Leads (1.127);1
29439833;🟡 Golden Leads (1.127);1
29714630;🟡 Golden Leads (1.127);1
29181658;🟡 Golden Leads (1.127);1
29181801;🟡 Golden Leads (1.127);1
29182344;🟡 Golden Leads (1.127);1
29182409;🟡 Golden Leads (1.127);1
29182433;🟡 Golden Leads (1.127);1
29182654;🟡 Golden Leads (1.127);1
29200091;🟡 Golden Leads (1.127);1
29365023;🟡 Golden Leads (1.127);1
29422248;🟡 Golden Leads (1.127);1
29422272;🟡 Golden Leads (1.127);1
29442818;🟡 Golden Leads (1.127);1
29447518;🟡 Golden Leads (1.127);1
29459230;🟡 Golden Leads (1.127);1
29477271;🟡 Golden Leads (1.127);1
29482445;🟡 Golden Leads (1.127);1
29485541;🟡 Golden Leads (1.127);1
29486963;🟡 Golden Leads (1.127);1
29487250;🟡 Golden Leads (1.127);1
29488591;🟡 Golden Leads (1.127);1
29494109;🟡 Golden Leads (1.127);1
29171652;🟡 Golden Leads (1.127);1
29480310;🟡 Golden Leads (1.127);1
29489504;🟡 Golden Leads (1.127);1
29277744;🟡 Golden Leads (1.127);1
29433380;🟡 Golden Leads (1.127);1
29470153;🟡 Golden Leads (1.127);1
29486696;🟡 Golden Leads (1.127);1
29542618;🟡 Golden Leads (1.127);1
31170216;🟡 Golden Leads (1.127);1
31239666;🟡 Golden Leads (1.127);1
31166103;🟡 Golden Leads (1.127);1
31371777;🟡 Golden Leads (1.127);1
31018864;🟡 Golden Leads (1.127);1
31003875;🟡 Golden Leads (1.127);1
31004031;🟡 Golden Leads (1.127);1
31004111;🟡 Golden Leads (1.127);1
31004138;🟡 Golden Leads (1.127);1
31004171;🟡 Golden Leads (1.127);1
31004197;🟡 Golden Leads (1.127);1
31004278;🟡 Golden Leads (1.127);1
31004359;🟡 Golden Leads (1.127);1
31004511;🟡 Golden Leads (1.127);1
31004651;🟡 Golden Leads (1.127);1
31004731;🟡 Golden Leads (1.127);1
31004812;🟡 Golden Leads (1.127);1
31004871;🟡 Golden Leads (1.127);1
31004880;🟡 Golden Leads (1.127);1
31004952;🟡 Golden Leads (1.127);1
31004979;🟡 Golden Leads (1.127);1
31005037;🟡 Golden Leads (1.127);1
31005088;🟡 Golden Leads (1.127);1
31005614;🟡 Golden Leads (1.127);1
31005622;🟡 Golden Leads (1.127);1
31005916;🟡 Golden Leads (1.127);1
31005975;🟡 Golden Leads (1.127);1
31006157;🟡 Golden Leads (1.127);1
31006238;🟡 Golden Leads (1.127);1
31006386;🟡 Golden Leads (1.127);1
31006394;🟡 Golden Leads (1.127);1
31006424;🟡 Golden Leads (1.127);1
31006491;🟡 Golden Leads (1.127);1
31006513;🟡 Golden Leads (1.127);1
31007111;🟡 Golden Leads (1.127);1
31007153;🟡 Golden Leads (1.127);1
31007196;🟡 Golden Leads (1.127);1
31007498;🟡 Golden Leads (1.127);1
31217123;🟡 Golden Leads (1.127);1
31244457;🟡 Golden Leads (1.127);1
31290157;🟡 Golden Leads (1.127);1
31294110;🟡 Golden Leads (1.127);1
31309711;🟡 Golden Leads (1.127);1
31314749;🟡 Golden Leads (1.127);1
31322873;🟡 Golden Leads (1.127);1
31324663;🟡 Golden Leads (1.127);1
31329282;🟡 Golden Leads (1.127);1
31350664;🟡 Golden Leads (1.127);1
31351725;🟡 Golden Leads (1.127);1
31358428;🟡 Golden Leads (1.127);1
31358541;🟡 Golden Leads (1.127);1
31365874;🟡 Golden Leads (1.127);1
31368342;🟡 Golden Leads (1.127);1
31369772;🟡 Golden Leads (1.127);1
31369977;🟡 Golden Leads (1.127);1
31374555;🟡 Golden Leads (1.127);1
31377759;🟡 Golden Leads (1.127);1
31379832;🟡 Golden Leads (1.127);1
31385433;🟡 Golden Leads (1.127);1
31387860;🟡 Golden Leads (1.127);1
31005789;🟡 Golden Leads (1.127);1
31007587;🟡 Golden Leads (1.127);1
31013935;🟡 Golden Leads (1.127);1
31353906;🟡 Golden Leads (1.127);1
31210595;🟡 Golden Leads (1.127);1
31305235;🟡 Golden Leads (1.127);1
31339989;🟡 Golden Leads (1.127);1
31014061;🟡 Golden Leads (1.127);1
31014087;🟡 Golden Leads (1.127);1
31193038;🟡 Golden Leads (1.127);1
31041181;🟡 Golden Leads (1.127);1
31041190;🟡 Golden Leads (1.127);1
31041262;🟡 Golden Leads (1.127);1
31281921;🟡 Golden Leads (1.127);1
31291986;🟡 Golden Leads (1.127);1
31371726;🟡 Golden Leads (1.127);1
31053953;🟡 Golden Leads (1.127);1
31054135;🟡 Golden Leads (1.127);1
31329762;🟡 Golden Leads (1.127);1
31193097;🟡 Golden Leads (1.127);1
31193160;🟡 Golden Leads (1.127);1
31349720;🟡 Golden Leads (1.127);1
31193216;🟡 Golden Leads (1.127);1
31105899;🟡 Golden Leads (1.127);1
31105902;🟡 Golden Leads (1.127);1
31361496;🟡 Golden Leads (1.127);1
31074098;🟡 Golden Leads (1.127);1
31074101;🟡 Golden Leads (1.127);1
31074250;🟡 Golden Leads (1.127);1
31074373;🟡 Golden Leads (1.127);1
31074411;🟡 Golden Leads (1.127);1
31074454;🟡 Golden Leads (1.127);1
31317101;🟡 Golden Leads (1.127);1
31324515;🟡 Golden Leads (1.127);1
31353990;🟡 Golden Leads (1.127);1
31354910;🟡 Golden Leads (1.127);1
31205231;🟡 Golden Leads (1.127);1
31205265;🟡 Golden Leads (1.127);1
31328294;🟡 Golden Leads (1.127);1
31346314;🟡 Golden Leads (1.127);1
31354848;🟡 Golden Leads (1.127);1
31096261;🟡 Golden Leads (1.127);1
31096270;🟡 Golden Leads (1.127);1
31260541;🟡 Golden Leads (1.127);1
31367710;🟡 Golden Leads (1.127);1
31370100;🟡 Golden Leads (1.127);1
31377899;🟡 Golden Leads (1.127);1
31229865;🟡 Golden Leads (1.127);1
31249483;🟡 Golden Leads (1.127);1
31333921;🟡 Golden Leads (1.127);1
31341550;🟡 Golden Leads (1.127);1
31354600;🟡 Golden Leads (1.127);1
31118320;🟡 Golden Leads (1.127);1
31118346;🟡 Golden Leads (1.127);1
31223883;🟡 Golden Leads (1.127);1
31294900;🟡 Golden Leads (1.127);1
31123536;🟡 Golden Leads (1.127);1
31123544;🟡 Golden Leads (1.127);1
31321079;🟡 Golden Leads (1.127);1
31371696;🟡 Golden Leads (1.127);1
31127965;🟡 Golden Leads (1.127);1
31128031;🟡 Golden Leads (1.127);1
31128058;🟡 Golden Leads (1.127);1
31062201;🟡 Golden Leads (1.127);1
31062235;🟡 Golden Leads (1.127);1
31327026;🟡 Golden Leads (1.127);1
31343781;🟡 Golden Leads (1.127);1
31358266;🟡 Golden Leads (1.127);1
31368520;🟡 Golden Leads (1.127);1
31145734;🟡 Golden Leads (1.127);1
31260908;🟡 Golden Leads (1.127);1
31334049;🟡 Golden Leads (1.127);1
31361500;🟡 Golden Leads (1.127);1
31367672;🟡 Golden Leads (1.127);1
31379719;🟡 Golden Leads (1.127);1
31378496;🟡 Golden Leads (1.127);1
31184331;🟡 Golden Leads (1.127);1
31184349;🟡 Golden Leads (1.127);1
31166332;🟡 Golden Leads (1.127);1
31166359;🟡 Golden Leads (1.127);1
31320536;🟡 Golden Leads (1.127);1
31354562;🟡 Golden Leads (1.127);1
31376442;🟡 Golden Leads (1.127);1
31377953;🟡 Golden Leads (1.127);1
31382655;🟡 Golden Leads (1.127);1
31384828;🟡 Golden Leads (1.127);1
31170402;🟡 Golden Leads (1.127);1
31170461;🟡 Golden Leads (1.127);1
31170534;🟡 Golden Leads (1.127);1
31170607;🟡 Golden Leads (1.127);1
31220094;🟡 Golden Leads (1.127);1
31275531;🟡 Golden Leads (1.127);1
31352195;🟡 Golden Leads (1.127);1
31369969;🟡 Golden Leads (1.127);1
31384909;🟡 Golden Leads (1.127);1
31180602;🟡 Golden Leads (1.127);1
31180611;🟡 Golden Leads (1.127);1
31293687;🟡 Golden Leads (1.127);1
31371742;🟡 Golden Leads (1.127);1
32053070;🟡 Golden Leads (1.127);1
32034377;🟡 Golden Leads (1.127);1
