cidade;UF;posicao_local;total_escolas_cidade;NO_ENTIDADE;codigo_escola;score_destaque;enem_media_geral;QT_MAT_MED;eh_parceiro_poliedro;eh_unidade_propria;melhor_posicao_parceiro_na_cidade
Niterói;RJ;2;42;INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO;33057206;0.9328;713.4;300.0;False;False;14
Niterói;RJ;3;42;COLEGIO MARILIA MATTOSO;33055866;0.9184;728.5;80.0;False;False;14
Niterói;RJ;4;42;COLEGIO E CURSO PENSI;33165920;0.8818;758.9;277.0;False;False;14
Niterói;RJ;5;42;ISJB - COLEGIO SALESIANO REGIAO OCEANICA;33155259;0.8487;654.9;151.0;False;False;14
Niterói;RJ;6;42;LME 542 EMPREENDIMENTOS EDUCACIONAIS SS LTDA;33179999;0.8468;692.3;169.0;False;False;14
Niterói;RJ;7;42;COLEGIO PH;33165998;0.8143;686.4;93.0;False;False;14
Niterói;RJ;8;42;COLEGIO SALESIANO SANTA ROSA;33055947;0.8139;643.9;316.0;False;False;14
Niterói;RJ;9;42;PB COLEGIO E CURSO;33196214;0.7861;714.4;227.0;False;False;14
Niterói;RJ;10;42;COLEGIO E CURSO PENSI;33150931;0.7803;655.3;236.0;False;False;14
Niterói;RJ;14;42;CANADIAN SCHOOL OF NITEROI;33198640;0.764;658.5;70.0;True;False;14
Nova Friburgo;RJ;1;13;ABMSA COL NS DAS MERCES;33021740;0.8816;678.2;103.0;False;False;6
Nova Friburgo;RJ;2;13;COLEGIO ANCHIETA;33021660;0.8644;668.0;241.0;False;False;6
Nova Friburgo;RJ;3;13;COLEGIO SAO JOAO BATISTA NOVA FRIBURGO;33145237;0.8402;721.2;92.0;False;False;6
Nova Friburgo;RJ;4;13;COL NS DAS DORES;33021724;0.7876;647.7;138.0;False;False;6
Nova Friburgo;RJ;5;13;COLEGIO ESPACO LIVRE;33155860;0.7846;657.0;111.0;False;False;6
Nova Friburgo;RJ;6;13;COOPERATIVA EDUCACIONAL ESCOLA FRIBOURG;33120986;0.7769;646.3;79.0;True;False;6
Nova Friburgo;RJ;7;13;EDUCANDARIO MIOSOTIS;33102830;0.7626;642.6;67.0;False;False;6
Nova Friburgo;RJ;8;13;CENTRO EDUCACIONAL DA ASSED;33134170;0.68;636.6;64.0;False;False;6
Nova Friburgo;RJ;9;13;CENTRO EDUCACIONAL CONSELHEIRO;33102899;0.6269;608.7;41.0;False;False;6
Nova Friburgo;RJ;10;13;RESOLVE SANTA IGNEZ;33022267;0.6199;628.9;60.0;False;False;6
Passos;MG;1;5;COL DEL REY;31294900;0.8417;658.9;48.0;False;False;4
Passos;MG;2;5;COLEGIO ATENAS PASSOS;31223883;0.8176;665.4;105.0;False;False;4
Passos;MG;3;5;COL IMACULADA CONCEICAO;31118320;0.7692;639.8;105.0;False;False;4
Passos;MG;4;5;COL STATUS;31118346;0.737;641.2;88.0;True;False;4
Passos;MG;5;5;COLEGIO SAO FRANCISCO - UNIDADE II;31362735;0.6126;621.1;146.0;False;False;4
Pindamonhangaba;SP;1;5;PROGRESSAO COLEGIO;35286527;0.7962;672.7;84.0;True;False;1
Pindamonhangaba;SP;2;5;MAGISTRA COLEGIO;35133097;0.6564;641.0;44.0;False;False;1
Pindamonhangaba;SP;3;5;CENTRO ED PROPEDEUTICO EI ENSINO FUNDAMENTAL MEDIO E EJA;35158379;0.6434;620.4;84.0;False;False;1
Pindamonhangaba;SP;4;5;EMILIO RIBAS COLEGIO DE ENSINO MEDIO;35288032;0.6001;612.1;195.0;False;False;1
Pindamonhangaba;SP;5;5;COLEGIO BOM JESUS EXTERNATO EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;35110826;0.5309;593.0;89.0;False;False;1
Porto Velho;RO;1;12;COLEGIO CLASSE A;11043857;0.7616;637.9;122.0;True;False;1
Porto Velho;RO;2;12;CENTRO DE ENSINO CLASSE A;11000058;0.7521;644.6;357.0;True;False;1
Porto Velho;RO;3;12;COLEGIO SAPIENS - UNIDADE INTENSIVO;11049073;0.7196;628.3;73.0;False;False;1
Porto Velho;RO;4;12;MAPLE BEAR PORTO VELHO;11049006;0.603;608.7;93.0;False;False;1
Porto Velho;RO;5;12;CENTRO DE ENSINO MINEIRO;11037474;0.5908;617.1;133.0;False;False;1
Porto Velho;RO;6;12;COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS;11000198;0.5276;589.3;197.0;False;False;1
Porto Velho;RO;7;12;COLEGIO SAPIENS - UNIDADE JARDIM AMERICA;11000252;0.5012;594.9;125.0;False;False;1
Porto Velho;RO;8;12;COLEGIO ADVENTISTA DE PORTO VELHO;11000350;0.4982;591.3;177.0;False;False;1
Porto Velho;RO;9;12;INSTITUTO MARIA AUXILIADORA;11003090;0.3918;570.6;88.0;False;False;1
Porto Velho;RO;10;12;INSTITUTO LAURA VICUNA;11003081;0.3772;567.9;104.0;False;False;1
Presidente Prudente;SP;1;11;BRAGA MELLO COLEGIO;35117195;0.8418;678.4;107.0;False;False;6
Presidente Prudente;SP;2;11;ATOMO COLEGIO;35185619;0.7938;671.1;169.0;False;False;6
Presidente Prudente;SP;3;11;MULTIPLUS SCHOOL;35165773;0.7301;640.1;199.0;False;False;6
Presidente Prudente;SP;4;11;PRUDENTINA ESCOLA DE EDUCACAO BASICA;35121381;0.7257;647.5;198.0;False;False;6
Presidente Prudente;SP;5;11;JP ENSINO MEDIO CURSOS TECNICOS E CURSINHOS;35300895;0.7088;655.2;93.0;False;False;6
Presidente Prudente;SP;6;11;ESQUEMA UNICO EDUCACIONAL DE PRESIDENTE PRUDENTE;35466761;0.7082;634.0;110.0;True;False;6
Presidente Prudente;SP;7;11;CRIARTE COLEGIO;35118321;0.6057;625.8;116.0;False;False;6
Presidente Prudente;SP;8;11;COLEGIO ADVENTISTA PRESIDENTE PRUDENTE;35117134;0.4578;580.6;118.0;False;False;6
Presidente Prudente;SP;9;11;COOPERATIVO COLEGIO DE EDUCACAO BASICA;35123444;0.4381;593.6;124.0;False;False;6
Presidente Prudente;SP;10;11;ESCOLA CHAMPAGNAT UNIDADE DE PRESIDENTE PRUDENTE;35117201;0.4089;589.9;186.0;False;False;6
Recife;PE;1;73;COLEGIO COGNITIVO;26189569;0.9452;736.6;305.0;False;False;5
Recife;PE;2;73;COLEGIO COGNITIVO;26534711;0.9451;736.4;433.0;False;False;5
Recife;PE;3;73;COLEGIO EQUIPE;26118165;0.943;727.4;234.0;False;False;5
Recife;PE;4;73;COLEGIO DAS DAMAS DA INSTRUCAO CRISTA;26122081;0.9296;680.8;501.0;False;False;5
Recife;PE;5;73;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;26156202;0.9065;682.0;450.0;True;False;5
Recife;PE;6;73;COLEGIO NUCLEO;26137631;0.9031;728.8;496.0;False;False;5
Recife;PE;7;73;COLEGIO EXIMIUS;26197405;0.9001;688.3;141.0;False;False;5
Recife;PE;8;73;COLEGIO SABER VIVER - UNIDADE III;26194236;0.88;694.7;147.0;False;False;5
Recife;PE;9;73;COLEGIO APOIO;26117584;0.8628;679.5;107.0;False;False;5
Recife;PE;10;73;COLEGIO NUCLEO - BOA VIAGEM;26187353;0.8605;710.4;266.0;False;False;5
Ribeirão Preto;SP;1;34;FAAP RIBEIRAO PRETO COLEGIO;35449003;0.9069;701.7;484.0;False;False;5
Ribeirão Preto;SP;2;34;PEQUENO PRINCIPE COLEGIO;35114832;0.8928;669.7;311.0;False;False;5
Ribeirão Preto;SP;3;34;ESCOLA SEB UNIDADE ALVARES CABRAL;35290804;0.877;725.5;212.0;False;False;5
Ribeirão Preto;SP;4;34;MARISTA COLEGIO DE RIBEIRAO PRETO;35114820;0.8672;681.8;209.0;False;False;5
Ribeirão Preto;SP;5;34;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;35114960;0.8626;667.3;257.0;True;False;5
Ribeirão Preto;SP;6;34;EINSTEIN COLEGIO;35186429;0.8131;663.8;459.0;False;False;5
Ribeirão Preto;SP;7;34;ESCOLA CONCEPT;35004304;0.8057;665.0;59.0;False;False;5
Ribeirão Preto;SP;8;34;ALBERT SABIN ESCOLA DE ENSINO MEDIO;35118503;0.7902;655.2;368.0;False;False;5
Ribeirão Preto;SP;9;34;LICEU CONTEMPORANEO ENSINO MEDIO;35431436;0.7789;637.4;174.0;False;False;5
Ribeirão Preto;SP;10;34;ESCOLA SEB UNIDADE LAFAIETE;35132925;0.7537;644.9;292.0;False;False;5
Rio Branco;AC;1;10;COLEGIO LATO SENSU;12028835;0.8758;672.3;144.0;False;False;2
Rio Branco;AC;2;10;ESC COLEGIO SIGMA;12031682;0.8569;676.6;120.0;True;False;2
Rio Branco;AC;3;10;ESC CENTRO EDUCACIONAL E CULTURAL - META;12010936;0.8113;655.4;331.0;False;False;2
Rio Branco;AC;4;10;ESC DE ENSINO MEDIO E TECNICO PLACIDO DE CASTRO;12030058;0.732;635.9;161.0;False;False;2
Rio Branco;AC;5;10;COLEGIO ALTERNATIVO DO ACRE;12026409;0.4599;590.9;102.0;False;False;2
Rio Branco;AC;6;10;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO;12026530;0.4571;579.8;236.0;False;False;2
Rio Branco;AC;7;10;ESC ASSOCIACAO MODELAR DE ENSINO A M E;12022969;0.3311;556.1;109.0;False;False;2
Rio Branco;AC;8;10;COLEGIO ADVENTISTA DE RIO BRANCO;12010928;0.3066;559.2;201.0;False;False;2
Rio Branco;AC;9;10;ESC INSTITUTO AGUIAS DO SABER;12033545;0.2728;535.0;112.0;False;False;2
Rio Branco;AC;10;10;ESC INSTITUTO IMACULADA CONCEICAO;12014370;0.2569;549.0;83.0;False;False;2
Salvador;BA;1;85;CENTRO EDUCACIONAL VILLA LOBOS;29422272;0.9089;697.0;195.0;False;False;3
Salvador;BA;2;85;COLEGIO BERNOULLI;29485541;0.9036;731.7;564.0;False;False;3
Salvador;BA;3;85;COLEGIO OFICINA;29365023;0.9029;696.4;186.0;True;False;3
Salvador;BA;4;85;SARTRE ESCOLA SEB - ITAIGARA;29200091;0.8899;684.8;1096.0;False;False;3
Salvador;BA;5;85;COLEGIO MARISTA DE PATAMARES;29447518;0.8856;658.6;392.0;False;False;3
Salvador;BA;6;85;COLEGIO INTEGRAL;29182344;0.8804;675.2;344.0;False;False;3
Salvador;BA;7;85;COLEGIO SAO PAULO;29487250;0.8731;673.2;361.0;True;False;3
Salvador;BA;8;85;COLEGIO ANGLO BRASILEIRO;29422248;0.8728;673.1;115.0;False;False;3
Salvador;BA;9;85;COLEGIO ANCHIETA;29486963;0.8475;661.0;466.0;False;False;3
Salvador;BA;10;85;COLEGIO MODULO;29182409;0.8457;666.8;259.0;False;False;3
Salvador;BA;11;85;CURSO E COLEGIO LEFFLER;29477271;0.8058;678.3;128.0;True;False;3
Santa Bárbara d'Oeste;SP;1;4;IDEAL COLEGIO;35150642;0.7431;638.0;105.0;True;False;1
Santa Bárbara d'Oeste;SP;2;4;FUNDACAO ROMI NEI;35499092;0.6971;636.8;155.0;False;False;1
Santa Bárbara d'Oeste;SP;3;4;PILARES COLEGIO;35140612;0.4501;591.7;114.0;False;False;1
Santa Bárbara d'Oeste;SP;4;4;OBJETIVO DE SANTA BARBARA DOESTE COLEGIO;35174836;0.3406;568.6;64.0;False;False;1
Santa Maria;RS;1;12;COLEGIO TOTEM SANTA MARIA;43216870;0.803;666.2;83.0;False;False;4
Santa Maria;RS;2;12;COLEGIO MARISTA SANTA MARIA;43121900;0.7932;640.5;74.0;False;False;4
Santa Maria;RS;3;12;COLEGIO RIACHUELO;43123988;0.7777;693.6;262.0;False;False;4
Santa Maria;RS;4;12;COLEGIO CORACAO DE MARIA;43123090;0.7177;623.6;112.0;True;False;4
Santa Maria;RS;5;12;COLEGIO NOSSA SENHORA DE FATIMA;43123643;0.6992;623.9;135.0;False;False;4
Santa Maria;RS;6;12;COLEGIO ANTONIO ALVES RAMOS;43123651;0.6761;614.9;120.0;False;False;4
Santa Maria;RS;7;12;FLEMING EDUCACAO SANTA MARIA;43219438;0.6669;648.3;165.0;False;False;4
Santa Maria;RS;8;12;COLEGIO FRANCISCANO SANT ANNA;43121896;0.5964;600.6;165.0;False;False;4
Santa Maria;RS;9;12;INSTITUTO SAO JOSE;43123678;0.4717;592.7;313.0;False;False;4
Santa Maria;RS;10;12;COLEGIO ADVENTISTA DE SANTA MARIA;43122019;0.4692;595.5;81.0;False;False;4
Santarém;PA;1;6;COLEGIO DOM AMANDO;15011070;0.8415;653.0;312.0;True;False;1
Santarém;PA;2;6;SOC DE EDUC INTEG HUMANA DO BRASIL;15528715;0.8301;662.5;70.0;False;False;1
Santarém;PA;3;6;COLEGIO SANTA CLARA;15011097;0.5794;597.8;301.0;False;False;1
Santarém;PA;4;6;COLEGIO BATISTA DE SANTAREM;15560759;0.5634;604.9;87.0;False;False;1
Santarém;PA;5;6;COLEGIO ADVENTISTA DE SANTAREM;15171027;0.4195;583.9;121.0;False;False;1
Santarém;PA;6;6;COLEGIO ULBRA CRISTO SALVADOR;15011020;0.2632;540.5;49.0;False;False;1
Santos;SP;1;30;CARMO COLEGIO;35109708;0.8796;666.3;166.0;False;False;2
Santos;SP;2;30;JEAN PIAGET UNIDADE II EEPG;35154295;0.8519;686.9;373.0;True;False;2
Santos;SP;3;30;REDE DE ENSINO NOVO TEMPO;35186260;0.6823;633.7;132.0;False;False;2
Santos;SP;4;30;UNIVERSITAS ENSINO MEDIO COLEGIO;35131829;0.6501;625.9;276.0;False;False;2
Santos;SP;5;30;SENIOR COLEGIO ENSINO MEDIO;35810939;0.6148;618.2;68.0;False;False;2
Santos;SP;6;30;COLEGIO AEON EDUCACIONAL;35005953;0.5945;631.6;85.0;False;False;2
Santos;SP;7;30;SAO JOSE COLEGIO;35109721;0.5919;610.6;73.0;False;False;2
Santos;SP;8;30;PROGRESSO BILINGUE UNIDADE II;35483084;0.5813;624.6;233.0;False;False;2
Santos;SP;9;30;STELLA MARIS COLEGIO;35109733;0.5636;598.5;60.0;False;False;2
Santos;SP;10;30;KENNEDY PRESIDENTE COLEGIO;35110140;0.5614;601.6;151.0;False;False;2
Sorocaba;SP;1;25;UIRAPURU COLEGIO;35141586;0.7833;666.2;407.0;False;False;3
Sorocaba;SP;2;25;SANTA ROSALIA COLEGIO;35450339;0.7747;662.4;240.0;False;False;3
Sorocaba;SP;3;25;COLEGIO SER UNIDADE CAMPOLIM;35137674;0.7525;661.3;439.0;True;False;3
Sorocaba;SP;4;25;SISTEMA EDUCACIONAL SOROCABA;35165578;0.6797;624.2;352.0;False;False;3
Sorocaba;SP;5;25;SOROCABA COLEGIO ENSINO INFANTIL E FUNDAMENTAL;35122968;0.6657;643.8;92.0;False;False;3
Sorocaba;SP;6;25;COLEGIO SANTA ESCOLASTICA;35112008;0.6553;635.6;105.0;False;False;3
Sorocaba;SP;7;25;SAO JOSE COLEGIO SALESIANO;35111958;0.6538;614.5;254.0;False;False;3
Sorocaba;SP;8;25;COLEGIO DOM AGUIRRE;35137686;0.6262;605.6;427.0;False;False;3
Sorocaba;SP;9;25;APICE INSTITUTO EDUCACIONAL LTDA;35173548;0.6154;614.8;102.0;False;False;3
Sorocaba;SP;10;25;COLEGIO INTEGRADO VERITAS;35155779;0.5978;622.4;88.0;False;False;3
São Bernardo do Campo;SP;1;31;COLEGIO ENGENHEIRO SALVADOR ARENA;35142967;0.9204;688.7;620.0;False;False;6
São Bernardo do Campo;SP;2;31;COLEGIO COC;35583224;0.8665;702.0;14.0;False;False;6
São Bernardo do Campo;SP;3;31;COLEGIO ARBOS - UNIDADE SAO BERNARDO DO CAMPO;35802578;0.8171;687.4;171.0;False;False;6
São Bernardo do Campo;SP;4;31;SINGULAR COLEGIO;35142612;0.808;653.2;261.0;False;False;6
São Bernardo do Campo;SP;5;31;PETROPOLIS COLEGIO;35152729;0.8028;659.3;309.0;False;False;6
São Bernardo do Campo;SP;6;31;ABACO COLEGIO;35108923;0.7563;679.6;648.0;True;False;6
São Bernardo do Campo;SP;7;31;HARMONIA COLEGIO;35119611;0.675;627.4;93.0;False;False;6
São Bernardo do Campo;SP;8;31;COLEGIO BOM JESUS SAO JOSE;35109010;0.6729;618.4;74.0;False;False;6
São Bernardo do Campo;SP;9;31;COLEGIO DARWIN CENTRAL SCHOOL;35006291;0.664;629.1;212.0;False;False;6
São Bernardo do Campo;SP;10;31;RIO BRANCO EXTERNATO;35108972;0.662;638.8;148.0;False;False;6
São Carlos;SP;1;13;COLEGIO ANGLO CIDADE DE SAO CARLOS - UNIDADE I;35121307;0.8637;667.8;138.0;False;False;4
São Carlos;SP;2;13;EDUCATIVA INSTITUTO DE EDUCACAO E CULTURA;35125441;0.8082;669.9;103.0;False;False;4
São Carlos;SP;3;13;SAO CARLOS INSTITUTO EDUCACAO DE ENSINO FUNDAMENTAL E MEDIO;35170331;0.8052;660.4;243.0;False;False;4
São Carlos;SP;4;13;SAPIENS CURSO E COLEGIO;35125436;0.7796;664.6;127.0;True;False;4
São Carlos;SP;5;13;CURSO E COLEGIO UNI;35007524;0.6907;643.1;435.0;False;False;4
São Carlos;SP;6;13;INTERATIVO CURSO E COLEGIO;35165116;0.6902;644.7;168.0;False;False;4
São Carlos;SP;7;13;LA SALLE SAO CARLOS COLEGIO DIOCESANO;35115253;0.6871;617.3;180.0;False;False;4
São Carlos;SP;8;13;SAO CARLOS COLEGIO;35115265;0.6862;620.8;65.0;False;False;4
São Carlos;SP;9;13;ADVENTISTA DE SAO CARLOS COLEGIO;35115277;0.5998;622.9;158.0;False;False;4
São Carlos;SP;10;13;COLEGIO PLANETA UNIDADE II;35009706;0.5714;626.1;46.0;False;False;4
São José do Rio Preto;SP;1;25;COLEGIO AGOSTINIANO SAO JOSE;35116373;0.842;659.0;260.0;False;False;2
São José do Rio Preto;SP;2;25;VEM SER COLEGIO;35188712;0.8352;656.8;82.0;True;False;2
São José do Rio Preto;SP;3;25;ESCOLA SEB UNIDADE DE RIO PRETO;35504324;0.8264;653.9;184.0;False;False;2
São José do Rio Preto;SP;4;25;OBJETIVO DE SAO JOSE DO RIO PRETO COLEGIO;35809159;0.8157;669.1;110.0;False;False;2
São José do Rio Preto;SP;5;25;COESO EDUC;35004215;0.7767;663.6;72.0;False;False;2
São José do Rio Preto;SP;6;25;CIDADE RIO PRETO COLEGIO;35500033;0.7175;644.8;211.0;False;False;2
São José do Rio Preto;SP;7;25;SANTO ANDRE COLEGIO;35116361;0.7012;627.6;368.0;False;False;2
São José do Rio Preto;SP;8;25;COLEGIO LONDON UNIDADE II;35006933;0.6951;656.3;106.0;False;False;2
São José do Rio Preto;SP;9;25;INTELECTUS RIO PRETO COLEGIO;35501918;0.6884;644.3;223.0;False;False;2
São José do Rio Preto;SP;10;25;COLEGIO KELVIN;35448205;0.6873;648.5;365.0;False;False;2
São José dos Campos;SP;1;25;EMBRAER JUAREZ WANDERLEY COLEGIO;35805555;0.9393;715.7;475.0;False;False;5
São José dos Campos;SP;2;25;COLEGIO ANGLO ALANTE SAO JOSE DOS CAMPOS;35137170;0.8229;653.1;654.0;False;False;5
São José dos Campos;SP;3;25;COLEGIO PLANCK;35004369;0.814;705.8;307.0;False;False;5
São José dos Campos;SP;4;25;INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM;35140065;0.801;697.0;104.0;False;False;5
São José dos Campos;SP;5;25;POLIEDRO COLEGIO;35175572;0.8008;689.9;1009.0;True;True;5
São José dos Campos;SP;6;25;INSPIRE COLEGIO;35499067;0.8004;666.4;222.0;False;False;5
São José dos Campos;SP;7;25;ALPHA LUMEN INSTITUTO;35561320;0.788;717.3;157.0;False;False;5
São José dos Campos;SP;8;25;CENTRO EDUCACIONAL OBJETIVO UNIDADE AQUARIUS;35134259;0.6749;618.8;151.0;False;False;5
São José dos Campos;SP;9;25;INSTITUTO SAO JOSE;35111089;0.6594;615.4;291.0;False;False;5
São José dos Campos;SP;10;25;AQUARIUS UNIVAP COLEGIO;35808246;0.6416;634.2;306.0;False;False;5
São Luís;MA;1;46;COLEGIO DOM BOSCO LTDA;21010331;0.905;666.5;216.0;False;False;9
São Luís;MA;2;46;CENTRO EDUCACIONAL MONTESSORIANO REINO INFANTIL;21009902;0.8781;687.4;226.0;False;False;9
São Luís;MA;3;46;MAPLE BEAR SAO LUIS;21273456;0.8495;705.2;76.0;False;False;9
São Luís;MA;4;46;COLEGIO LITERATO;21199809;0.8321;685.4;473.0;False;False;9
São Luís;MA;5;46;COLEGIO EDUCALLIS;21199090;0.8305;667.2;327.0;False;False;9
São Luís;MA;6;46;RF ENSINO MEDIO LTDA;21290229;0.8203;685.7;469.0;False;False;9
São Luís;MA;7;46;UPAON EDUCACIONAL LTDA;21010064;0.7892;634.3;283.0;False;False;9
São Luís;MA;8;46;AUDAZ COLEGIO LTDA;21292990;0.779;658.0;34.0;False;False;9
São Luís;MA;9;46;ESCOLA CRESCIMENTO;21279446;0.7662;642.0;118.0;True;False;9
São Luís;MA;10;46;D PEDRO II EMPREENDIMENTOS EDUCACIONAIS LTDA;21274231;0.7651;628.5;85.0;False;False;9
São Paulo;SP;1;503;OBJETIVO COLEGIO INTEGRADO;35399197;0.9228;763.9;160.0;False;False;26
São Paulo;SP;2;503;DANTE ALIGHIERI COLEGIO;35103524;0.9123;686.9;863.0;False;False;26
São Paulo;SP;3;503;AUGUSTO LARANJA COLEGIO UNIDADE I;35143406;0.9121;686.9;109.0;False;False;26
São Paulo;SP;4;503;MOBILE COLEGIO;35165347;0.9017;724.0;714.0;False;False;26
São Paulo;SP;5;503;COLEGIO VISCONDE DE PORTO SEGURO CAMPUS PANAMBY;35162243;0.9012;675.2;367.0;False;False;26
São Paulo;SP;6;503;SAO LUIS COLEGIO EIFM;35103548;0.8985;673.6;366.0;False;False;26
São Paulo;SP;7;503;COLEGIO FRANCISCANO PIOXII;35105314;0.8942;670.5;308.0;False;False;26
São Paulo;SP;8;503;NOSSA SENHORA DO ROSARIO COLEGIO;35107190;0.8814;678.2;295.0;False;False;26
São Paulo;SP;9;503;RIO BRANCO UNIDADE HIGIENOPOLIS COLEGIO;35103718;0.8791;664.1;265.0;False;False;26
São Paulo;SP;10;503;MIGUEL DE CERVANTES COLEGIO;35120285;0.8784;676.8;395.0;False;False;26
São Paulo;SP;26;503;COLEGIO POLIEDRO DE EDUCACAO;35134132;0.8315;686.2;268.0;True;True;26
São Paulo;SP;27;503;AGOSTINIANO MENDEL COLEGIO;35136931;0.826;695.7;987.0;True;False;26
São Paulo;SP;69;503;SAO JOSE COLEGIO AGOSTINIANO;35101278;0.7232;653.7;760.0;True;False;26
Taubaté;SP;1;14;OBJETIVO JUNIOR COLEGIO;35140995;0.8;696.3;102.0;False;False;4
Taubaté;SP;2;14;COTET COLEGIO TECNICO DE TAUBATE;35111363;0.7843;647.8;98.0;False;False;4
Taubaté;SP;3;14;OBJETIVO COLEGIO;35140193;0.7598;692.9;80.0;False;False;4
Taubaté;SP;4;14;PROGRESSAO COLEGIO;35161861;0.7201;669.1;255.0;True;False;4
Taubaté;SP;5;14;CASSIANO RICARDO COLEGIO;35118564;0.7191;645.4;238.0;False;False;4
Taubaté;SP;6;14;JARDIM DAS NACOES COLEGIO;35151282;0.6938;636.3;227.0;False;False;4
Taubaté;SP;7;14;BASIC COLEGIO;35143297;0.6538;618.5;76.0;False;False;4
Taubaté;SP;8;14;ESCOLA DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL E ENSINO MEDIO SAO LUIS LTDA EPP;35111235;0.6389;633.6;126.0;False;False;4
Taubaté;SP;9;14;TABLEAU COLEGIO;35168373;0.5229;609.3;205.0;False;False;4
Taubaté;SP;10;14;ALFREDO JOSE BALBI DOUTOR ESCOLA DE APLICACAO;35111259;0.4759;599.9;317.0;False;False;4
Teresina;PI;1;51;INSTITUTO DOM BARRETO CENTRO;22025740;0.9662;750.3;729.0;True;False;1
Teresina;PI;2;51;ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS;22022481;0.9592;715.8;374.0;False;False;1
Teresina;PI;3;51;BRIGHT SCHOOL;22146636;0.918;711.7;87.0;False;False;1
Teresina;PI;4;51;COLEGIO LEROTE LTDA;22022406;0.8998;717.0;235.0;False;False;1
Teresina;PI;5;51;COLEGIO GREAT;22144919;0.8931;703.8;63.0;False;False;1
Teresina;PI;6;51;EDUCANDARIO SANTA MARIA GORETTI;22023658;0.8875;659.2;109.0;False;False;1
Teresina;PI;7;51;COLEGIO PROPOSITO;22142363;0.8852;721.8;293.0;False;False;1
Teresina;PI;8;51;COLEGIO PROCAMPUS;22027173;0.8832;728.4;103.0;False;False;1
Teresina;PI;9;51;GRUPO EDUCACIONAL CEV - UNIDADE KENNEDY;22142622;0.8813;664.9;283.0;False;False;1
Teresina;PI;10;51;COLEGIO SAO FRANCISCO DE SALES;22022503;0.8552;662.5;220.0;False;False;1
Teresópolis;RJ;1;10;COLEGIO SAO PAULO;33042578;0.9179;673.3;250.0;False;False;6
Teresópolis;RJ;2;10;CENTRO EDUC SERRA DOS ORGAOS;33042462;0.7853;638.9;91.0;False;False;6
Teresópolis;RJ;3;10;COL NS DO CARMO;33042560;0.7789;641.5;55.0;False;False;6
Teresópolis;RJ;4;10;COLEGIO E CURSO PENSI;33182094;0.7651;645.8;117.0;False;False;6
Teresópolis;RJ;5;10;ESC GEORGE MARCH LTDA;33043086;0.7431;637.4;127.0;False;False;6
Teresópolis;RJ;6;10;COLEGIO E CURSO CARVALHO BRAGA;33196770;0.7171;644.7;108.0;True;False;6
Teresópolis;RJ;7;10;COLEGIO UNICO LTDA;33170509;0.6509;630.3;72.0;False;False;6
Teresópolis;RJ;8;10;COLEGIO PONTO DE APOIO DE TERESOPOLIS;33182078;0.6395;637.4;69.0;False;False;6
Teresópolis;RJ;9;10;ESPACO E VIDA DE TERESOPOLIS;33127875;0.5155;594.1;53.0;False;False;6
Teresópolis;RJ;10;10;CENTRO DE ENSINO MODERNO;33042373;0.4541;580.0;75.0;False;False;6
Umuarama;PR;1;6;ALFA DE UMUARAMA CENTRO C E M;41382161;0.7144;627.1;448.0;True;False;1
Umuarama;PR;2;6;CENTRO EDUC GLOBAL CEF M;41007808;0.6342;610.8;62.0;False;False;1
Umuarama;PR;3;6;COLEGIO EDUCARE - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;41008545;0.5043;598.6;69.0;False;False;1
Umuarama;PR;4;6;ELITE UMUARAMA;41007883;0.478;592.7;84.0;False;False;1
Umuarama;PR;5;6;GERACAO CIMA CEI EF M;41008758;0.4048;578.7;83.0;False;False;1
Umuarama;PR;6;6;COLEGIO SAPIENS-ENSINO MEDIO;41149955;0.396;587.5;135.0;False;False;1
Vitória da Conquista;BA;1;13;COLEGIO OFICINA DE VITORIA DA CONQUISTA;29542618;0.8392;666.4;347.0;False;False;4
Vitória da Conquista;BA;2;13;COLEGIO NOSSA SENHORA DE FATIMA - SACRAMENTINAS;29277744;0.8066;643.5;514.0;False;False;4
Vitória da Conquista;BA;3;13;EPG - ESTABELECIMENTO PARTICULAR DE ENSINO LTDA;29433380;0.7834;647.9;99.0;False;False;4
Vitória da Conquista;BA;4;13;COLEGIO SENECA;29470153;0.7443;647.3;225.0;True;False;4
Vitória da Conquista;BA;5;13;CENTRO EDUCACIONAL OPCAO;29486696;0.726;639.1;84.0;False;False;4
Vitória da Conquista;BA;6;13;INSTITUTO DE EDUCACAO JUVENCIO;29459729;0.6828;639.0;76.0;False;False;4
Vitória da Conquista;BA;7;13;CENTRO EDUCACIONAL ADVENTISTA CONQUISTENSE;29608600;0.4743;596.2;208.0;False;False;4
Vitória da Conquista;BA;8;13;COLEGIO PAULO VI;29277825;0.416;574.6;104.0;False;False;4
