cidade;UF;posicao_local;total_escolas_cidade;NO_ENTIDADE;codigo_escola;score_destaque;enem_media_geral;QT_MAT_MED;eh_parceiro_poliedro;eh_unidade_propria;melhor_posicao_parceiro_na_cidade
Brasília;DF;4;114;COL MADRE CARMEN SALLES;53001320;0.8801;677.6;160.0;False;False;3
Brasília;DF;5;114;C EDUCACIONAL SIGMA AGUAS CLARAS;53015347;0.88;677.5;238.0;False;False;3
Brasília;DF;6;114;C EDUCACIONAL SIGMA;53001222;0.8766;675.3;368.0;False;False;3
Brasília;DF;7;114;COLEGIO OLIMPO AGUAS CLARAS;53015789;0.8745;716.0;329.0;False;False;3
Brasília;DF;8;114;C EDUCACIONAL LEONARDO DA VINCI - UNIDADE TAGUATINGA;53013670;0.8696;683.8;547.0;False;False;3
Brasília;DF;9;114;COL GALOIS;53012860;0.8657;700.5;358.0;False;False;3
Brasília;DF;10;114;COL COC LAGO NORTE;53009428;0.8629;667.4;47.0;False;False;3
Brasília;DF;33;114;C DE ENS MEDIO DELTA;53038002;0.7145;636.5;193.0;True;False;3
Campinas;SP;1;45;NOTRE DAME DE CAMPINAS COLEGIO;35112562;0.8935;687.4;472.0;False;False;7
Campinas;SP;2;45;PROGRESSO CAMPINEIRO COLEGIO;35112513;0.8907;685.7;126.0;False;False;7
Campinas;SP;3;45;RIO BRANCO COLEGIO;35112902;0.8067;648.4;278.0;False;False;7
Campinas;SP;4;45;DOM BARRETO COLEGIO;35112896;0.8022;642.1;200.0;False;False;7
Campinas;SP;5;45;FRANCISCANO AVE MARIA COLEGIO;35112768;0.7965;645.7;124.0;False;False;7
Campinas;SP;6;45;COLEGIO ELITECOL;35579403;0.7922;688.5;251.0;False;False;7
Campinas;SP;7;45;COLEGIO POLIEDRO;35004269;0.7831;676.9;635.0;True;True;7
Campinas;SP;8;45;NOSSA SRA AUXILIADORA COLEGIO SALESIANO;35112586;0.7816;642.0;165.0;False;False;7
Campinas;SP;9;45;IMACULADA INSTITUTO EDUCACIONAL;35112773;0.7767;641.1;184.0;False;False;7
Campinas;SP;10;45;ASTHER COLEGIO;35138769;0.7673;639.3;72.0;False;False;7
Campinas;SP;11;45;COLEGIO POLIEDRO UNIDADE CENTRO;35009757;0.767;700.1;17.0;True;True;7
Campo Grande;MS;1;29;COLEGIO CLASSE A;50031163;0.8383;718.0;16.0;True;False;1
Campo Grande;MS;2;29;COLEGIO HARMONIA - UNIDADE I;50027956;0.8367;676.2;286.0;True;False;1
Campo Grande;MS;3;29;COLEGIO MARISTA ALEXANDER FLEMING;50005405;0.8114;662.8;277.0;False;False;1
Campo Grande;MS;4;29;COLEGIO BIONATUS II;50032100;0.7914;708.8;28.0;False;False;1
Campo Grande;MS;5;29;COLEGIO MAESTRIA - ENEM E VESTIBULARES;50035088;0.7806;674.5;211.0;True;False;1
Campo Grande;MS;6;29;COLEGIO MASTER LTDA;50034197;0.7752;662.6;217.0;False;False;1
Campo Grande;MS;7;29;COLEGIO ALMIRANTE TAMANDARE;50007718;0.7589;666.9;45.0;False;False;1
Campo Grande;MS;8;29;COLEGIO SALESIANO DOM BOSCO;50007858;0.7152;627.3;195.0;False;False;1
Campo Grande;MS;9;29;COLEGIO DE ENSINO MEDIO NOVA GERACAO;50030469;0.7001;633.4;251.0;False;False;1
Campo Grande;MS;10;29;CENTRO DE ENS NOSSA SENHORA AUXILIADORA;50007874;0.697;632.6;84.0;False;False;1
Curitiba;PR;1;64;COLEGIO DO BOSQUE MANANCIAIS;41148142;0.908;703.1;80.0;True;False;1
