codigo_municipio;populacao_total;qtd_escolas_elegiveis;qtd_escolas_com_enem;enem_media_praca;populacao_0_17;score_socioeconomico;percentil_socioeconomico;percentil_volume_escolas;percentil_qualidade_enem;score_priorizacao;nome_municipio_ibge;uf;rank_cidade;top10
3144805;111697;9,0;7,0;645,8039716312056;24766;0,8051109595871214;0,9874213836477987;0,5251572327044025;0,9682539682539684;0,843;Nova Lima;MG;18;False
3304557;6211223;465,0;319,0;608,8112662022036;1251008;0,5206560392715472;0,949685534591195;0,9968553459119496;0,5396825396825397;0,8408;Rio de Janeiro;RJ;19;False
4113700;555965;24,0;19,0;618,4557273482959;117917;0,4383414977449144;0,9182389937106918;0,8647798742138365;0,7015873015873015;0,8372;Londrina;PR;20;False
3525904;443221;36,0;28,0;610,6159809523809;90755;0,5460426204193487;0,9559748427672956;0,9072327044025156;0,5682539682539682;0,825;Jundiaí;SP;21;False
3538709;423323;23,0;17,0;621,0547952306895;89355;0,3853417527388333;0,8490566037735849;0,8584905660377359;0,7555555555555555;0,8238;Piracicaba;SP;22;False
2304400;2428708;135,0;106,0;622,8588752136752;545863;0,3291627197242535;0,7232704402515723;0,9937106918238994;0,7777777777777778;0,8208;Fortaleza;CE;23;False
3548708;810729;37,0;32,0;612,3169320761307;169455;0,4325332079763368;0,9088050314465408;0,9135220125786164;0,6095238095238096;0,8204;São Bernardo do Campo;SP;24;False
3509502;1139047;50,0;40,0;607,7364049586778;230413;0,5557403216428769;0,959119496855346;0,9339622641509434;0,5206349206349207;0,82;Campinas;SP;25;False
3548500;418608;37,0;28,0;606,995568917669;74193;0,7313350933119964;0,981132075471698;0,9135220125786164;0,5079365079365079;0,8189;Santos;SP;26;False
3548906;254857;14,0;13,0;626,924486452426;52466;0,412734291938813;0,889937106918239;0,7122641509433962;0,8285714285714286;0,8182;São Carlos;SP;27;False
3549805;480393;39,0;29,0;611,1233018273473;96786;0,4356730583057975;0,9119496855345912;0,9182389937106918;0,5777777777777777;0,8136;São José do Rio Preto;SP;28;False
3550308;11451999;603,0;447,0;602,0704198104081;2377363;0,538323112625207;0,9528301886792452;1,0;0,4349206349206349;0,8116;São Paulo;SP;29;False
3303906;278881;30,0;18,0;624,9089645390071;55841;0,3421749781221927;0,7578616352201258;0,8883647798742138;0,8;0,8097;Petrópolis;RJ;30;False
4316907;271735;10,0;9,0;633,6432936507937;54873;0,4782677897888648;0,9276729559748428;0,5738993710691824;0,8857142857142857;0,809;Santa Maria;RS;31;False
5103403;650877;34,0;26,0;611,6486332218506;161624;0,4309799702676718;0,9025157232704404;0,8977987421383647;0,580952380952381;0,8046;Cuiabá;MT;32;False
3556206;126373;7,0;5,0;648,9255263157895;24998;0,6514234812034514;0,9716981132075472;0,3993710691823899;0,9777777777777776;0,8018;Valinhos;SP;33;False
3520509;255748;13,0;11,0;619,0175468483816;55459;0,4887948081593457;0,9339622641509434;0,6776729559748428;0,7238095238095238;0,794;Indaiatuba;SP;34;False
