codigo_escola;NO_ENTIDADE;cidade
33064628;COLEGIO TTH BAR-ILAN;Rio de Janeiro
31005916;COLEGIO DO INSTITUTO PADRE MACHADO;Belo Horizonte
13102192;LATO SENSU IV;Manaus
35561320;ALPHA LUMEN INSTITUTO;São José dos Campos
31377953;COLEGIO INTEGRADO UBERABA;Uberaba
31170534;COLEGIO PIRLIMPIMPIM SAO PASCHOALL;Uberlândia
41131690;COLEGIO NOSSA SENHORA MEDIANEIRA;Curitiba
52033830;COLEGIO SANTA CLARA;Goiânia
33196214;PB COLEGIO E CURSO;Niterói
25133012;COLEGIO VILA LTDA;João Pessoa
31004979;COLEGIO ESCOLAPIO SAO MIGUEL;Belo Horizonte
42163021;DUAL INTERNATIONAL SCHOOL;Florianópolis
31014087;COLEGIO SANTA MARIA MINAS UNIDADE CONTAGEM;Contagem
51088835;FARINA SISTEMA DE ENSINO;Cuiabá
33027404;ESCOLA CANTO DOS PASSAROS;Cabo Frio
43213995;FLEMING SERVICOS EDUCACIONAIS LTDA;Porto Alegre
35142736;ESCOLA DA VILA VILA DAS JUVENTUDES;São Paulo
31384828;COLEGIO OPCAO - UNIDADE II;Uberaba
26152630;GGE VESTIBULARES;Recife
33192260;LATTOS COLEGIO E VESTIBULARES;Rio de Janeiro
31127965;COL JESUS MARIA JOSE;Poços de Caldas
35100419;ZETA SISTEMA DE ENSINO DE BIRIGUI;Birigui
33150931;COLEGIO E CURSO PENSI;Niterói
33183031;ESCOLA SA PEREIRA;Rio de Janeiro
42000670;ASAV - COLEGIO CATARINENSE;Florianópolis
15172201;CENTRO EDUCACIONAL ESCREVA COM LTDA;Marabá
51016443;COLEGIO AVANCADO DE DESENVOLVIMENTO EDUCACIONAL;Sinop
31004171;COLEGIO NOSSA SENHORA DAS DORES;Belo Horizonte
33182108;COLEGIO E CURSO PRW;Petrópolis
35130217;ESCOLA CARANDA VIVA VIDA;São Paulo
35463279;VITAL BRAZIL COLEGIO;São Paulo
24089150;OVER COLEGIO E CURSO;Mossoró
29171652;COLEGIO SANTO ANTONIO DE JESUS;Santo Antônio de Jesus
35008727;ESCOLA NOVA LOURENCO CASTANHO;São Paulo
33188823;COLEGIO ESPACO VERDE;Volta Redonda
42000238;COLEGIO BOM JESUS CORACAO DE JESUS;Florianópolis
35126718;ESCOLA NOVA LOURENCO UNIDADE IV;São Paulo
31322873;COLEGUIUM - UNIDADE SANTA AMELIA;Belo Horizonte
35144216;PARTHENON COLEGIO;Guarulhos
42160650;CURSO E COLEGIO CRIATIVO;Florianópolis
