codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,nome_municipio_ibge,uf,CO_CEP,DS_ENDERECO,NU_ENDERECO,bairro,logradouro_viacep,erro_geocodificacao
53020057,ESC SEB AZ BRASILIA,5300108,18,101,Outras posições,626.4049382716049,81.0,5.0,225.0,0.789,Brasília,DF,70390140,SGAS 914,SN,Asa Sul,Quadra SGAS 914,
52092488,CENTRO EDUC SESC CIDADANIA ELIAS BUFAICAL NETO,5208707,11,63,Outras posições,625.1661224489795,147.0,5.0,503.0,0.7841,Goiânia,GO,74270030,C197,812,Jardim América,Avenida C197,
31290157,COL CHROMOS PAMPULHA,3106200,22,88,Outras posições,656.5686666666667,90.0,4.0,549.0,0.7835,Belo Horizonte,MG,31275010,LEOPOLDINO DOS PASSOS,156,São José,Rua Leopoldino dos Passos,
26117991,COLEGIO BOA VIAGEM LTDA,2611606,13,70,Outras posições,624.5098290598291,78.0,5.0,266.0,0.7818,Recife,PE,51020170,PROFESSOR EDUARDO WANDERLEY FILHO,539,Boa Viagem,Rua Professor Eduardo Wanderley Filho,
35118503,ALBERT SABIN ESCOLA DE ENSINO MEDIO,3543402,7,34,Outras posições,655.1941002949852,113.0,4.0,368.0,0.7803,Ribeirão Preto,SP,14026240,JOSE CURVELO DA SILVEIRA JUNIOR,110,Vila Ana Maria,Rua José Curvelo da Silveira Júnior,
53011872,ESCOLA MAPLE BEAR BRASILIA,5300108,19,101,Outras posições,624.1781818181818,11.0,5.0,38.0,0.7803,Brasília,DF,70673350,EQSW 303/304,,Setor Sudoeste,Quadra EQSW 303/304,
52038149,INSTITUTO PRESBITERIANO DE EDUCACAO,5208707,12,63,Outras posições,623.7584397163121,47.0,5.0,164.0,0.7791,Goiânia,GO,74210045,T 1,413,Setor Bueno,Avenida T 1,
53015010,ESCOLA CANADENSE DE BRASILIA,5300108,20,101,Outras posições,654.8383333333333,12.0,4.0,94.0,0.7787,Brasília,DF,70610480,SIG QUADRA 8,2225,Zona Industrial,Quadra SIG Quadra 8,
31005088,COLEGUIUM - UNIDADE INTERNACIONAL BELVEDERE,3106200,23,88,Outras posições,622.1304761904763,14.0,5.0,52.0,0.7746,Belo Horizonte,MG,30320400,CELSO PORFIRIO MACHADO,1650,Belvedere,Avenida Celso Porfírio Machado,
53019393,COL EVEREST BRASILIA II,5300108,21,101,Outras posições,652.0921637426901,57.0,4.0,185.0,0.772,Brasília,DF,71645600,SHIS QI 17 AREA ESPECIAL S/N,,Setor de Habitações Individuais Sul,Quadra SHIS QI 17 Área Especial,
43105084,COL LA SALLE SANTO ANTONIO,4314902,15,45,Outras posições,651.700594059406,101.0,4.0,376.0,0.7704,Porto Alegre,RS,90620150,LUIZ DE CAMOES,372,Santo Antônio,Rua Luiz de Camões,
31004430,ESCOLA SESI NEWTON ANTONIO DA SILVA PEREIRA,3106200,24,88,Outras posições,651.4364912280702,57.0,4.0,180.0,0.7697,Belo Horizonte,MG,31910130,AIURUOCA,539,São Paulo,Rua Aiuruoca,
