prospect;codigo_escola;cidade;UF;bairro_prospect;segmento_comercial;score_destaque;parceiro_mais_proximo;bairro_parceiro;parceiro_eh_unidade_propria;distancia_km;faixa_proximidade
FRANCISCANO AVE MARIA COLEGIO;35112768;Campinas;SP;BOSQUE;Desafiante (2º-5º local);0.796;COLEGIO POLIEDRO;TAQUARAL;True;2.78;proximo (2-5km)
ESCOLA INTERNACIONAL PREPARANDO GERACOES;35805973;Atibaia;SP;VILA ESPERIA OU GIGLIO;Outras posições;0.595;SAO JOSE EXTERNATO;JARDIM BRASIL;False;2.78;proximo (2-5km)
CECRI C EDUC CRIATIVO;31281921;Divinópolis;MG;SAO JOSE;Desafiante (2º-5º local);0.765;INST N SRA DO SAGRADO CORACAO;CENTRO;False;2.81;proximo (2-5km)
UNICOLEGIO ARACATUBA;35150988;Araçatuba;SP;VILA INDUSTRIAL;Outras posições;0.447;DELTA EDUCACIONAL;SAUDADE;False;2.83;proximo (2-5km)
LYON CAMPINAS COLEGIO;35172467;Campinas;SP;BOSQUE;Outras posições;0.489;COLEGIO POLIEDRO;TAQUARAL;True;2.83;proximo (2-5km)
MACKENZIE COLEGIO PRESBITERIANO;35103861;São Paulo;SP;HIGIENOPOLIS;Outras posições;0.674;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;2.84;proximo (2-5km)
COLEGIO MOTIVO;26160307;Recife;PE;IMBIRIBEIRA;Outras posições;0.746;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;2.84;proximo (2-5km)
COLEGIO ADVENTISTA DE SANTAREM;15171027;Santarém;PA;AEROPORTO VELHO;Desafiante (2º-5º local);0.42;COLEGIO DOM AMANDO;CENTRO;False;2.84;proximo (2-5km)
COLEGIO SANTA DOROTEIA;31007196;Belo Horizonte;MG;SION;Outras posições;0.913;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;2.87;proximo (2-5km)
COLEGIO SANTA LUZIA;21092680;Imperatriz;MA;SANTA RITA;Desafiante (2º-5º local);0.671;COMPLEXO EDUCACIONAL DOM BOSCO;CENTRO;False;2.87;proximo (2-5km)
COLEGIO AGOSTINIANO SAO JOSE;35116373;São José do Rio Preto;SP;JARDIM SANTA CATARINA;Líder local;0.842;VEM SER COLEGIO;VILA NOSSA SENHORA DA PAZ;False;2.87;proximo (2-5km)
OBJETIVO DE SAO JOSE DO RIO PRETO COLEGIO;35809159;São José do Rio Preto;SP;VILA ERCILIA;Desafiante (2º-5º local);0.816;VEM SER COLEGIO;VILA NOSSA SENHORA DA PAZ;False;2.9;proximo (2-5km)
ADVENTISTA DE SAO BERNARDO DO CAMPO COLEGIO;35151048;São Bernardo do Campo;SP;SANTA TEREZINHA;Outras posições;0.436;ABACO COLEGIO;ASSUNCAO;False;2.91;proximo (2-5km)
INSTITUTO SAO JOSE;43123678;Santa Maria;RS;DOM ANTÔNIO REIS;Outras posições;0.472;COLEGIO CORACAO DE MARIA;NOSSA SENHORA DAS DORES;False;2.92;proximo (2-5km)
INSTITUTO EDUCACAO CIENCIAS E LETRAS CENTRO;35111867;Sorocaba;SP;CENTRO;Outras posições;0.597;COLEGIO SER UNIDADE CAMPOLIM;PARQUE CAMPOLIM;False;2.93;proximo (2-5km)
COLEGIO SALESIANO NOSSA SENHORA AUXILIADORA;28017919;Aracaju;SE;SUISSA;Outras posições;0.59;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;GRAGERU;False;2.93;proximo (2-5km)
AUTENTICO COLEGIO;35304049;Guarulhos;SP;PORTAL DOS GRAMADOS;Outras posições;0.466;MATER AMABILIS COLEGIO;JARDIM MAIA;False;2.95;proximo (2-5km)
COLEGIO GGE;26163039;Recife;PE;IMBIRIBEIRA;Outras posições;0.851;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;2.96;proximo (2-5km)
COLEGIO ALMIRANTE TAMANDARE;50007718;Campo Grande;MS;VILA ALBA;Outras posições;0.759;COLEGIO CLASSE A;MONTE CASTELO;False;2.97;proximo (2-5km)
OBJETIVO VILA INDUSTRIAL;35467765;Campinas;SP;VILA INDUSTRIAL;Outras posições;0.479;COLEGIO POLIEDRO;TAQUARAL;True;2.97;proximo (2-5km)
COLEGIO ANGLO SAO PAULO;35004801;São Paulo;SP;VILA CLEMENTINO;Outras posições;0.802;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;2.98;proximo (2-5km)
JP ENSINO MEDIO CURSOS TECNICOS E CURSINHOS;35300895;Presidente Prudente;SP;JARDIM DAS ROSAS;Desafiante (2º-5º local);0.709;ESQUEMA UNICO EDUCACIONAL DE PRESIDENTE PRUDENTE;JARDIM PAULISTANO;False;2.99;proximo (2-5km)
COL MADRE CARMEN SALLES;53001320;Brasília;DF;ASA NORTE;Desafiante (2º-5º local);0.88;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;2.99;proximo (2-5km)
ESCOLA BAHIANA DE CIENCIA E TECNOLOGIA;29446767;Salvador;BA;IMBUÍ;Outras posições;0.495;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;2.99;proximo (2-5km)
COLEGIO ADVENTISTA DE PORTO VELHO;11000350;Porto Velho;RO;NOVA PORTO VELHO;Outras posições;0.498;CENTRO DE ENSINO CLASSE A;CENTRO;False;3.01;proximo (2-5km)
MARISTA COLEGIO DE RIBEIRAO PRETO;35114820;Ribeirão Preto;SP;CENTRO;Desafiante (2º-5º local);0.867;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;3.02;proximo (2-5km)
ADVENTISTA DE CAMPINAS COLEGIO;35112641;Campinas;SP;PONTE PRETA;Outras posições;0.422;COLEGIO POLIEDRO;TAQUARAL;True;3.05;proximo (2-5km)
COLEGIO RAUL SANS DE MATOS;50007920;Campo Grande;MS;CENTRO;Outras posições;0.44;COLEGIO HARMONIA - UNIDADE I;JARDIM DOS ESTADOS;False;3.07;proximo (2-5km)
COLEGIO ORLEANS E BRAGANCA;31370258;Belo Horizonte;MG;COMITECO;Outras posições;0.633;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;3.07;proximo (2-5km)
COLEGIO ARBOS - UNIDADE SAO BERNARDO DO CAMPO;35802578;São Bernardo do Campo;SP;NOVA PETROPOLIS;Desafiante (2º-5º local);0.817;ABACO COLEGIO;ASSUNCAO;False;3.12;proximo (2-5km)
COLEGIO ANGLO CIDADE DE SAO CARLOS - UNIDADE I;35121307;São Carlos;SP;JARDIM SAO PAULO;Líder local;0.864;SAPIENS CURSO E COLEGIO;CENTRO;False;3.14;proximo (2-5km)
COL NS DAS DORES;33021724;Nova Friburgo;RJ;CENTRO;Desafiante (2º-5º local);0.788;COOPERATIVA EDUCACIONAL ESCOLA FRIBOURG;OLARIA;False;3.14;proximo (2-5km)
SILVIO GONZALEZ COLEGIO;35567516;São Paulo;SP;LIMAO;Outras posições;0.447;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;3.16;proximo (2-5km)
ASSEIJ COLEGIO NOSSA SENHORA DO ROSARIO;41131657;Curitiba;PR;BACACHERI;Outras posições;0.683;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;3.17;proximo (2-5km)
CENTRO EDUCACIONAL MASTER;24085634;Natal;RN;CAPIM MACIO;Outras posições;0.819;COLGIO CONTEMPORANEO;LAGOA NOVA;False;3.18;proximo (2-5km)
COLEGIO NOSSA SENHORA DAS DORES - UNIDADE POMPEIA;31005622;Belo Horizonte;MG;POMPEIA;Outras posições;0.853;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;3.18;proximo (2-5km)
MODULO COLEGIO;35118928;São Paulo;SP;VILA ROMANA;Outras posições;0.629;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;3.2;proximo (2-5km)
BARAO DE MAUA ESCOLA DE ED INFANTIL FUNDAMENTAL E MEDIO;35114911;Ribeirão Preto;SP;JARDIM PAULISTA;Outras posições;0.555;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;3.21;proximo (2-5km)
COLEGIO ANTONIO ALVES RAMOS;43123651;Santa Maria;RS;PATRONATO;Outras posições;0.676;COLEGIO CORACAO DE MARIA;NOSSA SENHORA DAS DORES;False;3.23;proximo (2-5km)
COLEGIO COGNITIVO;26534711;Recife;PE;SANTANA;Desafiante (2º-5º local);0.945;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;3.24;proximo (2-5km)
COMUNIDADE COLEGIO DA;35153285;São Paulo;SP;VILA CARRAO;Outras posições;0.455;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;3.27;proximo (2-5km)
COLEGIO SANTISSIMA TRINDADE;27214737;Maceió;AL;BARRO DURO;Outras posições;0.426;COLEGIO CONTATO MACEIO;JATIÚCA;False;3.29;proximo (2-5km)
RENASCER ARTE ESCOLA;35173460;Sorocaba;SP;JARDIM GUARUJA;Outras posições;0.421;COLEGIO SER UNIDADE CAMPOLIM;PARQUE CAMPOLIM;False;3.3;proximo (2-5km)
COLEGIO MARISTA DE MACEIO;27034895;Maceió;AL;FAROL;Outras posições;0.566;COLEGIO CONTATO MACEIO;JATIÚCA;False;3.3;proximo (2-5km)
EDUCATIVA INSTITUTO DE EDUCACAO E CULTURA;35125441;São Carlos;SP;AZULVILLE I;Desafiante (2º-5º local);0.808;SAPIENS CURSO E COLEGIO;CENTRO;False;3.31;proximo (2-5km)
COLEGIO SANTA MADALENA SOFIA;27035000;Maceió;AL;FAROL;Desafiante (2º-5º local);0.838;COLEGIO CONTATO MACEIO;JATIÚCA;False;3.31;proximo (2-5km)
COLEGIO LAVOISIER;28017986;Aracaju;SE;FAROLÂNDIA;Outras posições;0.47;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;GRAGERU;False;3.32;proximo (2-5km)
COLEGIO OFICINA DO ESTUDANTE UNIDADE PAINEIRAS;35008152;Campinas;SP;VILA BRANDINA;Outras posições;0.626;COLEGIO POLIEDRO;TAQUARAL;True;3.32;proximo (2-5km)
NOSSA SENHORA MENINA EXTERNATO;35101722;São Paulo;SP;ALTO DA MOOCA;Outras posições;0.681;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;3.32;proximo (2-5km)
KENNEDY PRESIDENTE COLEGIO;35110140;Santos;SP;JOSE MENINO;Outras posições;0.561;JEAN PIAGET UNIDADE II EEPG;APARECIDA;False;3.34;proximo (2-5km)
SAO LUIS COLEGIO UNIDADE II;35388117;São Paulo;SP;VILA MARIANA;Outras posições;0.645;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;3.35;proximo (2-5km)
SAO LUIS COLEGIO EIFM;35103548;São Paulo;SP;VILA MARIANA;Outras posições;0.898;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;3.35;proximo (2-5km)
COLEGIO BOM JESUS ED INFANTIL ENSINO FUNDAMENTAL E MEDIO SEDE;41127722;Curitiba;PR;CENTRO;Outras posições;0.799;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;3.38;proximo (2-5km)
COLEGIO ARQUIDIOCESANO S CORACAO DE JESUS;28017781;Aracaju;SE;FAROLANDIA;Desafiante (2º-5º local);0.883;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;GRAGERU;False;3.39;proximo (2-5km)
CENTRO EDUCACIONAL PINHEIROS;24334308;Natal;RN;ALECRIM;Outras posições;0.423;COLGIO CONTEMPORANEO;LAGOA NOVA;False;3.4;proximo (2-5km)
PETROPOLIS COLEGIO;35152729;São Bernardo do Campo;SP;NOVA PETROPOLIS;Desafiante (2º-5º local);0.803;ABACO COLEGIO;ASSUNCAO;False;3.41;proximo (2-5km)
COLEGIO BOM PASTOR;29188229;Salvador;BA;CANDEAL;Outras posições;0.467;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;3.42;proximo (2-5km)
COLEGIO AMADEUS LTDA;28017943;Aracaju;SE;CENTRO;Desafiante (2º-5º local);0.894;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;GRAGERU;False;3.42;proximo (2-5km)
ASSOCIACAO MANCHESTER EDUCACIONAL;35111995;Sorocaba;SP;CENTRO;Outras posições;0.594;COLEGIO SER UNIDADE CAMPOLIM;PARQUE CAMPOLIM;False;3.43;proximo (2-5km)
COLEGIO IDEAL LTDA-EPP;28032799;Aracaju;SE;CIRURGIA;Outras posições;0.766;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;GRAGERU;False;3.43;proximo (2-5km)
COLEGIO SAO LAZARO;29181658;Salvador;BA;CABULA;Outras posições;0.747;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;3.45;proximo (2-5km)
ESCOLA DE EDUCACAO BASICA PADRAO;27223361;Maceió;AL;GRUTA DE LOURDES;Outras posições;0.651;COLEGIO CONTATO MACEIO;JATIÚCA;False;3.47;proximo (2-5km)
ESCOLA BALAO VERMELHO;31006491;Belo Horizonte;MG;MANGABEIRAS;Outras posições;0.77;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;3.47;proximo (2-5km)
COLEGIO E CURSO ELITE CURITIBA;41390024;Curitiba;PR;CENTRO;Outras posições;0.7;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;3.51;proximo (2-5km)
COLEGIO MARIE JOST;24084263;Natal;RN;CANDELÁRIA;Desafiante (2º-5º local);0.909;COLGIO CONTEMPORANEO;LAGOA NOVA;False;3.55;proximo (2-5km)
COLEGIO SANTA MARIA;26124220;Recife;PE;BOA VIAGEM;Outras posições;0.847;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;3.55;proximo (2-5km)
DOM BARRETO COLEGIO;35112896;Campinas;SP;PONTE PRETA;Desafiante (2º-5º local);0.802;COLEGIO POLIEDRO;TAQUARAL;True;3.56;proximo (2-5km)
COLEGIO POSITIVO VICENTE MACHADO - ENSINO MEDIO;41355644;Curitiba;PR;CENTRO;Outras posições;0.63;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;3.58;proximo (2-5km)
ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO;12026530;Rio Branco;AC;NOVA ESPERANCA;Outras posições;0.457;ESC COLEGIO SIGMA;BOSQUE;False;3.6;proximo (2-5km)
ALBERT EINSTEIN ETIEP UNIDADE II;35498646;São Paulo;SP;BELA VISTA;Outras posições;0.617;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;3.62;proximo (2-5km)
COLEGIO CBA ABC;50029266;Campo Grande;MS;JARDIM PAULISTA;Outras posições;0.439;COLEGIO HARMONIA - UNIDADE I;JARDIM DOS ESTADOS;False;3.64;proximo (2-5km)
ESCOLA SEB UNIDADE ALVARES CABRAL;35290804;Ribeirão Preto;SP;CENTRO;Desafiante (2º-5º local);0.877;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;3.65;proximo (2-5km)
SANTA CLARA COLEGIO;35104917;São Paulo;SP;VILA MADALENA;Outras posições;0.816;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;3.66;proximo (2-5km)
COLEGIO ESCOLAPIO SAO MIGUEL;31004979;Belo Horizonte;MG;NOVA FLORESTA;Outras posições;0.785;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;3.67;proximo (2-5km)
COLEGIO CRISTO REI;27215512;Maceió;AL;FAROL;Outras posições;0.596;COLEGIO CONTATO MACEIO;JATIÚCA;False;3.69;proximo (2-5km)
ESCOLA SEB UNIDADE LAFAIETE;35132925;Ribeirão Preto;SP;CENTRO;Outras posições;0.754;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;3.69;proximo (2-5km)
OFICINA DO ESTUDANTE COLEGIO;35437153;Campinas;SP;JARDIM GUANABARA;Outras posições;0.675;COLEGIO POLIEDRO;TAQUARAL;True;3.7;proximo (2-5km)
INSTITUTO REIS MAGOS;24059340;Natal;RN;ALECRIM;Outras posições;0.708;COLGIO CONTEMPORANEO;LAGOA NOVA;False;3.71;proximo (2-5km)
MADALENA SOFIA COL - EDUC INF-EF-EM;41130740;Curitiba;PR;BAIRRO ALTO;Outras posições;0.469;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;3.72;proximo (2-5km)
COLEGIO ANCHIETA;33021660;Nova Friburgo;RJ;CENTRO;Desafiante (2º-5º local);0.864;COOPERATIVA EDUCACIONAL ESCOLA FRIBOURG;OLARIA;False;3.74;proximo (2-5km)
COLEGUIUM - UNIDADE INTERNACIONAL BELVEDERE;31005088;Belo Horizonte;MG;BELVEDERE;Outras posições;0.718;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;3.74;proximo (2-5km)
COLEGIO CASTELO-INSTITUTO NOSSA SENHORA DA GLORIA;33015546;Macaé;RJ;MIRAMAR;Desafiante (2º-5º local);0.668;COLEGIO APROVADO;GRANJA DOS CAVALEIROS;False;3.74;proximo (2-5km)
RAINHA DA PAZ COLEGIO EIFM;35104875;São Paulo;SP;VILA MADALENA;Outras posições;0.686;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;3.75;proximo (2-5km)
ESCOLA SANTO TOMAS DE AQUINO;31004278;Belo Horizonte;MG;SAO BENTO;Outras posições;0.79;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;3.76;proximo (2-5km)
LICEU SANTISTA;35110346;Santos;SP;GONZAGA;Outras posições;0.522;JEAN PIAGET UNIDADE II EEPG;APARECIDA;False;3.76;proximo (2-5km)
FRANCISCANO NOSSA SENHORA APARECIDA COLEGIO;35111016;São José dos Campos;SP;CENTRO;Outras posições;0.532;POLIEDRO COLEGIO;JARDIM ESPLANADA;True;3.77;proximo (2-5km)
ASTHER COLEGIO;35138769;Campinas;SP;JARDIM PARAISO;Outras posições;0.767;COLEGIO POLIEDRO;TAQUARAL;True;3.77;proximo (2-5km)
COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS;11000198;Porto Velho;RO;FLODOALDO PONTES PINTO;Outras posições;0.528;CENTRO DE ENSINO CLASSE A;CENTRO;False;3.81;proximo (2-5km)
COLEGIO SAPIENS - UNIDADE INTENSIVO;11049073;Porto Velho;RO;FLODOALDO PONTES PINTO;Desafiante (2º-5º local);0.72;CENTRO DE ENSINO CLASSE A;CENTRO;False;3.81;proximo (2-5km)
COLEGIO BOA VIAGEM LTDA;26117991;Recife;PE;BOA VIAGEM;Outras posições;0.703;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;3.81;proximo (2-5km)
BRASILIA DE SAO PAULO COLEGIO;35131660;São Paulo;SP;VILA FORMOSA;Outras posições;0.86;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;3.81;proximo (2-5km)
ABMSA COL NS DAS MERCES;33021740;Nova Friburgo;RJ;CENTRO;Líder local;0.882;COOPERATIVA EDUCACIONAL ESCOLA FRIBOURG;OLARIA;False;3.82;proximo (2-5km)
COLEGIO SANTA ESCOLASTICA;35112008;Sorocaba;SP;CENTRO;Outras posições;0.655;COLEGIO SER UNIDADE CAMPOLIM;PARQUE CAMPOLIM;False;3.89;proximo (2-5km)
COLEGIO DOM AGUIRRE;35137686;Sorocaba;SP;VILA TRUJILLO;Outras posições;0.626;COLEGIO SER UNIDADE CAMPOLIM;PARQUE CAMPOLIM;False;3.89;proximo (2-5km)
COLEGUIUM - UNIDADE CARLOS PRATES;31358541;Belo Horizonte;MG;CARLOS PRATES;Outras posições;0.712;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;3.9;proximo (2-5km)
COLEGIO NOSSA SENHORA DAS NEVES;24057096;Natal;RN;ALECRIM;Outras posições;0.81;COLGIO CONTEMPORANEO;LAGOA NOVA;False;3.91;proximo (2-5km)
COLEGIO DOM BOSCO MERCES EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;41146476;Curitiba;PR;MERCÊS;Outras posições;0.6;COLEGIO DO BOSQUE MANANCIAIS;AHÚ;False;3.94;proximo (2-5km)
TSSA TEENS CENTRO DE EDUCACAO LTDA;29422256;Salvador;BA;CABULA;Outras posições;0.467;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;3.95;proximo (2-5km)
COLEGIO DR WALTER BELIAN;35106636;São Paulo;SP;CAMBUCI;Outras posições;0.65;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;3.95;proximo (2-5km)
PREMEDICO COLEGIO;35130369;São Paulo;SP;LAPA;Outras posições;0.531;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;3.96;proximo (2-5km)
SINGULAR COLEGIO;35142612;São Bernardo do Campo;SP;BAETA NEVES;Desafiante (2º-5º local);0.808;ABACO COLEGIO;ASSUNCAO;False;3.96;proximo (2-5km)
COLEGIO OBJETIVO PRIME;35005131;São Bernardo do Campo;SP;BAETA NEVES;Outras posições;0.553;ABACO COLEGIO;ASSUNCAO;False;3.98;proximo (2-5km)
COLEGIO DARWIN CENTRAL SCHOOL;35006291;São Bernardo do Campo;SP;CENTRO;Outras posições;0.664;ABACO COLEGIO;ASSUNCAO;False;4.02;proximo (2-5km)
ESPACO EDUCACAO BASICA COLEGIO;35137224;Atibaia;SP;JARDIM PAULISTA;Desafiante (2º-5º local);0.618;SAO JOSE EXTERNATO;JARDIM BRASIL;False;4.04;proximo (2-5km)
APICE INSTITUTO EDUCACIONAL LTDA;35173548;Sorocaba;SP;VILA TRUJILLO;Outras posições;0.615;COLEGIO SER UNIDADE CAMPOLIM;PARQUE CAMPOLIM;False;4.04;proximo (2-5km)
CENTRO DE ENSINO MINEIRO;11037474;Porto Velho;RO;FLODOALDO PONTES PINTO;Desafiante (2º-5º local);0.591;CENTRO DE ENSINO CLASSE A;CENTRO;False;4.05;proximo (2-5km)
COLEGIO NOSSA SENHORA DE SION - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;41131630;Curitiba;PR;BATEL;Outras posições;0.661;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;4.1;proximo (2-5km)
INSTITUTO DOM FERNANDO GOMES;28019814;Aracaju;SE;SIQUEIRA CAMPOS;Outras posições;0.549;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;GRAGERU;False;4.13;proximo (2-5km)
ESCOLA CONCEPT;35004304;Ribeirão Preto;SP;VILA DO GOLF;Outras posições;0.806;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;4.13;proximo (2-5km)
COLEGIO MARISTA DE NATAL;24057134;Natal;RN;TIROL;Líder local;0.948;COLGIO CONTEMPORANEO;LAGOA NOVA;False;4.17;proximo (2-5km)
COLEGIO SAGRADO CORACAO DE JESUS;41133048;Curitiba;PR;REBOUÇAS;Outras posições;0.459;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;4.17;proximo (2-5km)
UNIMOR COLEGIO NUCLEO 2;35292175;São Paulo;SP;VILA ESTER ZONA NORTE;Outras posições;0.549;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.19;proximo (2-5km)
DANTE ALIGHIERI COLEGIO;35103524;São Paulo;SP;JARDIM PAULISTA;Desafiante (2º-5º local);0.912;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.2;proximo (2-5km)
COL SERIOS;53013875;Brasília;DF;ASA SUL;Outras posições;0.83;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;4.21;proximo (2-5km)
COLEGIO NOSSA SENHORA DA PIEDADE;31006513;Belo Horizonte;MG;CALAFATE;Outras posições;0.854;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;4.22;proximo (2-5km)
COLEGIO GERACAO;42106311;Florianópolis;SC;AGRONÔMICA;Outras posições;0.621;ESCOLA AUTONOMIA;ITACORUBI;False;4.23;proximo (2-5km)
COLEGIO MAGNUM AGOSTINIANO;31004731;Belo Horizonte;MG;NOVA FLORESTA;Outras posições;0.894;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;4.27;proximo (2-5km)
COLEGIO NOSSA SENHORA MEDIANEIRA;41131690;Curitiba;PR;PRADO VELHO;Outras posições;0.787;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;4.3;proximo (2-5km)
COLEGIO NOSSA SENHORA DA CONCEICAO;29182433;Salvador;BA;BROTAS;Outras posições;0.723;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;4.3;proximo (2-5km)
PALMARES COLEGIO EFM;35104607;São Paulo;SP;PINHEIROS;Outras posições;0.705;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.32;proximo (2-5km)
LICEU DE ARTES E OFICIOS DE SAO PAULO;35103421;São Paulo;SP;LUZ;Outras posições;0.86;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;4.32;proximo (2-5km)
COLEGIO MARISTA ANJO DA GUARDA EI EF EM;41127242;Curitiba;PR;SANTA FELICIDADE;Desafiante (2º-5º local);0.863;COLEGIO DO BOSQUE MANANCIAIS;AHÚ;False;4.36;proximo (2-5km)
COLEGIO MARIA MONTESSORI;27226115;Maceió;AL;GRUTA DE LOURDES;Desafiante (2º-5º local);0.8;COLEGIO CONTATO MACEIO;JATIÚCA;False;4.36;proximo (2-5km)
COLEGIO ELITECOL;35579403;Campinas;SP;PARQUE RURAL FAZENDA SANTA CANDIDA;Outras posições;0.792;COLEGIO POLIEDRO;TAQUARAL;True;4.37;proximo (2-5km)
AMORIM SANTA TERESA COLEGIO;35100730;São Paulo;SP;VILA GUILHERME;Outras posições;0.553;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;4.39;proximo (2-5km)
FEREGUETTI CENTRO EDUCACIONAL;35173712;São Paulo;SP;VILA SANTANA;Outras posições;0.489;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;4.44;proximo (2-5km)
ESCOLA SALESIANA BRASILIA;53001109;Brasília;DF;ASA SUL;Outras posições;0.621;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;4.47;proximo (2-5km)
ESCOLA CRESCIMENTO;21195534;São Luís;MA;RENASCENCA;Outras posições;0.674;ESCOLA CRESCIMENTO;CALHAU;False;4.47;proximo (2-5km)
ANGLO ITATIBA CURSO E COLEGIO;35811683;Itatiba;SP;NUCLEO RESIDENCIAL PORTO SEGURO;Desafiante (2º-5º local);0.505;NEXT COLEGIO;JARDIM NOSSA SENHORA DAS GRACAS;False;4.5;proximo (2-5km)
OLIVETANO COLEGIO;35102039;São Paulo;SP;VILA ESPERANCA;Outras posições;0.516;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;4.5;proximo (2-5km)
