codigo_escola;NO_ENTIDADE;cidade;UF;rank_municipio;n_escolas_confiaveis_municipio;score_destaque;segmento_comercial;endereco_completo
35167666;COLEGIO TRIVIUM;Praia Grande;SP;8;15;0,206;Outras posições;KENNEDY PRESIDENTE, 2253 - GUILHERMINA - CEP 11702-200
35119748;FORTEC ESCOLA TECNICA UNIDADE II;Praia Grande;SP;9;15;0,203;Outras posições;INDAIA, 119 - GUILHERMINA - CEP 11701-440
35006289;COLEGIO JEAN PIAGET UNIDADE III;Praia Grande;SP;10;15;0,128;Outras posições;GUILHERMINA, 413 - GUILHERMINA - CEP 11701-500
35143736;O BOSQUE ENSINO FUNDAMENTAL E MEDIO;Santo André;SP;4;32;0,682;Desafiante (2º-5º local);ANTONIO MAGALHAES, 202 - VILA ALZIRA - CEP 09195-070
35140909;PRO SABER INSTITUTO DE ENSINO;Santo André;SP;9;32;0,515;Outras posições;ONZE DE JUNHO, 312 - CASA BRANCA - CEP 09015-520
35124631;TREVO MASTER GRUPO EDUCACIONAL;Santo André;SP;10;32;0,447;Outras posições;PEDRO AMERICO, 925 - VILA HOMERO THON - CEP 09110-560
35005953;COLEGIO AEON EDUCACIONAL;Santos;SP;6;30;0,594;Outras posições;CONSELHEIRO NEBIAS, 626 - BOQUEIRÃO - CEP 11045-002
35109721;SAO JOSE COLEGIO;Santos;SP;7;30;0,592;Outras posições;ANA COSTA, 373 - GONZAGA - CEP 11060-003
35109733;STELLA MARIS COLEGIO;Santos;SP;9;30;0,564;Outras posições;CONSELHEIRO NEBIAS, 771 - BOQUEIRAO - CEP 11045-003
35122968;SOROCABA COLEGIO ENSINO INFANTIL E FUNDAMENTAL;Sorocaba;SP;5;25;0,666;Desafiante (2º-5º local);ATANAZIO SOARES, 3700 - VILA FORMOSA - CEP 18076-141
35155779;COLEGIO INTEGRADO VERITAS;Sorocaba;SP;10;25;0,598;Outras posições;DOUTOR LUIZ MENDES DE ALMEIDA, 848 - VILA ESPIRITO SANTO - CEP 18051-290
35119611;HARMONIA COLEGIO;São Bernardo do Campo;SP;7;31;0,675;Outras posições;CAMINHO DO MAR, 2709 - RUDGE RAMOS - CEP 09611-000
35109010;COLEGIO BOM JESUS SAO JOSE;São Bernardo do Campo;SP;8;31;0,673;Outras posições;FLAQUER DOUTOR, 334 - CENTRO - CEP 09710-180
33090734;COL JEAN PIAGET;São Gonçalo;RJ;4;28;0,636;Desafiante (2º-5º local);PRADO LOPES, 1 - JARDIM CATARINA - CEP 24717-067
33187100;COLEGIO COGITARE;São Gonçalo;RJ;7;28;0,617;Outras posições;DOUTOR FRANCISCO PORTELA, 2645 - CENTRO - CEP 24440-396
33170347;COLEGIO M3;São Gonçalo;RJ;9;28;0,577;Outras posições;CORONEL SERRADO, 1422 - ZÉ GAROTO - CEP 24440-000
33126000;CENTRO EDUC OLIVIA LIMA E JD DE INF MIRIM LTDA;São Gonçalo;RJ;10;28;0,561;Outras posições;GALILEU, 121 - RIO DO OURO - CEP 24753-310
31380210;COLEGIO ANN MACKENZIE UNIDADE GAVEA - KARAIBA;Uberlândia;MG;10;20;0,654;Outras posições;TUPA, 390 - JARDIM KARAÍBA - CEP 38411-376
32083351;COLEGIO PRIMEIRO MUNDO;Vila Velha;ES;6;21;0,674;Outras posições;JOAO JOAQUIM DA MOTA, 431 - PRAIA DA COSTA - CEP 29101-200
